"Table 2.
Number of beneficiaries with benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2004",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"47,687,693","29,952,474","2,568,853","482,894","4,828,972","1,904,631","6,198,271","152,804","1,598,794","14,197,197","19,498,804"
Alabama,,,"881,978","481,767","42,548","9,578","99,013","42,295","158,760","4,264","43,753","224,888","329,116"
Alaska,,,"62,781","37,077","2,747","1,210","5,115","4,710","9,115",242,"2,565","18,790","19,962"
Arizona,,,"893,001","581,471","47,075","7,961","76,894","33,176","114,676","2,348","29,400","281,047","350,914"
Arkansas,,,"553,533","314,941","25,543","5,307","57,778","23,860","97,531","2,520","26,053","148,720","206,270"
California,,,"4,413,876","2,839,289","270,500","54,068","408,372","172,675","528,551","11,889","128,532","1,399,144","1,809,090"
Colorado,,,"569,257","366,765","34,864","4,456","54,979","21,735","68,814","1,260","16,384","179,450","232,439"
Connecticut,,,"583,427","405,529","23,669","5,433","49,074","19,935","62,510",911,"16,366","182,636","260,772"
Delaware,,,"145,825","94,854","6,430","1,196","13,013","5,581","19,454",275,"5,022","43,719","58,533"
District of Columbia,,,"71,905","46,394","2,247",856,"6,874","4,504","9,408",56,"1,566","20,560","31,378"
Florida,,,"3,384,956","2,298,010","171,335","31,827","298,235","107,592","378,309","8,268","91,380","1,094,220","1,411,366"
Georgia,,,"1,193,857","708,468","49,360","12,239","120,010","63,473","187,938","3,962","48,407","315,192","460,094"
Hawaii,,,"197,263","140,474","9,038","3,062","15,816","6,395","17,733",407,"4,338","65,444","85,046"
Idaho,,,"218,155","139,300","13,157","2,044","20,243","8,093","27,268",730,"7,320","68,967","84,658"
Illinois,,,"1,879,051","1,217,013","94,793","20,390","196,717","78,220","212,177","4,199","55,542","565,011","805,901"
Indiana,,,"1,046,476","661,266","52,325","9,071","108,082","42,379","134,455","2,955","35,943","301,642","433,466"
Iowa,,,"548,297","361,716","34,134","3,936","59,784","17,142","56,603","1,033","13,949","171,542","244,578"
Kansas,,,"447,371","292,861","24,091","3,483","45,943","16,605","50,782",833,"12,773","137,938","194,261"
Kentucky,,,"782,816","406,999","43,640","6,726","92,712","32,489","153,214","5,844","41,192","199,864","282,444"
Louisiana,,,"740,378","377,296","53,030","9,391","105,089","45,086","110,448","5,078","34,960","198,297","278,013"
Maine,,,"266,145","161,159","13,085","2,037","24,492","8,143","44,054",960,"12,215","77,135","103,623"
Maryland,,,"761,210","500,356","35,157","7,050","74,868","36,274","85,940","1,182","20,383","228,893","325,643"
Massachusetts,,,"1,063,061","692,180","45,388","9,290","93,744","34,471","145,341","2,289","40,358","315,930","458,847"
Michigan,,,"1,722,514","1,064,310","94,907","18,036","178,872","72,148","227,546","5,352","61,343","498,133","693,831"
Minnesota,,,"775,460","516,614","43,755","5,863","76,151","25,522","85,475","1,201","20,879","243,894","333,064"
Mississippi,,,"541,483","288,318","21,883","6,919","56,999","30,908","102,140","2,900","31,416","132,335","194,179"
Missouri,,,"1,046,439","643,450","50,817","8,566","105,616","42,663","152,866","3,154","39,307","298,459","420,870"
Montana,,,"166,264","106,254","10,274","1,626","17,190","6,207","19,674",530,"4,509","52,835","66,051"
Nebraska,,,"289,735","189,792","17,289","2,205","30,320","9,924","31,288",540,"8,377","90,683","127,904"
Nevada,,,"339,023","228,660","14,180","3,299","26,433","12,267","43,649",686,"9,849","113,104","125,321"
New Hampshire,,,"215,453","142,013","8,555","1,541","16,988","6,753","29,788",499,"9,316","65,089","86,772"
New Jersey,,,"1,368,734","938,220","55,786","12,985","124,078","49,202","147,400","3,009","38,054","420,093","607,741"
New Mexico,,,"302,500","180,887","19,657","3,553","30,264","14,552","41,653","1,399","10,535","91,007","114,671"
New York,,,"3,044,526","1,980,921","138,765","36,522","276,893","110,803","387,519","9,580","103,523","893,672","1,291,570"
North Carolina,,,"1,468,751","912,656","54,060","11,894","131,277","59,906","237,928","4,231","56,799","399,465","578,368"
North Dakota,,,"114,167","71,590","9,533",853,"15,213","3,960","10,443",212,"2,363","37,294","51,140"
Ohio,,,"1,945,724","1,197,179","129,019","17,373","236,235","74,198","230,479","5,247","55,994","585,540","826,622"
Oklahoma,,,"623,599","381,429","34,122","5,523","68,713","26,938","84,468","2,297","20,109","181,587","250,990"
Oregon,,,"603,781","403,089","32,908","5,188","56,434","18,873","71,410","1,679","14,200","190,662","248,450"
Pennsylvania,,,"2,400,082","1,552,127","127,093","19,386","264,122","82,110","276,160","6,959","72,125","718,089","1,050,868"
Rhode Island,,,"192,755","128,612","6,117","1,483","15,243","5,925","27,868",435,"7,072","55,985","83,547"
South Carolina,,,"754,531","454,652","28,584","7,167","70,606","35,242","124,796","2,427","31,057","201,690","286,511"
South Dakota,,,"139,053","90,248","9,533","1,137","15,539","5,104","13,847",254,"3,391","45,147","60,470"
Tennessee,,,"1,061,981","622,680","50,087","9,787","111,509","47,727","172,995","4,399","42,797","285,619","409,326"
Texas,,,"2,859,342","1,707,535","190,227","31,913","334,245","139,525","350,893","11,293","93,711","854,532","1,133,470"
Utah,,,"263,267","171,031","17,287","3,063","22,754","13,137","27,157",669,"8,169","84,156","105,802"
Vermont,,,"109,983","70,630","5,297","1,062","10,173","3,615","14,973",310,"3,923","33,244","44,245"
Virginia,,,"1,114,705","693,505","54,031","10,044","111,224","45,021","156,736","4,117","40,027","319,720","451,490"
Washington,,,"911,511","595,562","51,547","8,247","83,041","30,706","115,292","2,156","24,960","285,116","370,033"
West Virginia,,,"409,401","207,804","27,838","4,094","54,587","15,767","76,076","4,108","19,127","107,262","151,197"
Wisconsin,,,"940,151","629,499","47,301","8,045","90,892","31,852","104,687","1,717","26,158","291,617","401,277"
Wyoming,,,"79,998","52,753","4,465",616,"7,768","3,010","9,134",209,"2,043","25,997","31,733"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,447","1,550",200,410,583,913,"1,044",67,680,879,966
,Guam,,"11,639","6,125","1,057",561,"1,111","1,141","1,055",65,524,"3,524","3,473"
,"Northern Mariana
   Islands",,"2,232",897,145,267,278,409,169,10,57,529,463
,Puerto Rico,,"708,461","329,722","56,058","14,922","81,109","38,730","134,719","8,849","44,352","181,720","223,775"
,Virgin Islands,,"15,480","9,905",849,425,"1,179","1,005","1,545",63,509,"4,686","5,478"
Foreign countries,,,"434,902","257,070","61,471","7,708","78,486","14,035","12,318",676,"3,138","164,804","200,722"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2004
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2004/",,,,,,,,,,,,,
