"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex
of beneficiaries aged 65 or older, December 2004 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"41,574,348","28,601,332","1,227,331","224,538","4,329,336","1,190,871","5,542,045","35,378","423,518","15,255,394","15,859,064"
Alabama,,,"720,660","439,790","20,153","4,427","81,193","24,985","137,763",978,"11,373","232,662","253,240"
Alaska,,,"51,697","34,094","1,220",472,"4,299","2,861","8,068",48,636,"19,314","15,509"
Arizona,,,"798,042","565,615","23,125","3,646","71,207","20,144","106,047",569,"7,689","307,571","289,048"
Arkansas,,,"443,777","279,916","11,434","2,359","46,322","13,697","82,991",537,"6,522","149,157","155,046"
California,,,"3,880,901","2,720,934","127,270","24,408","377,491","109,577","483,093","2,752","35,376","1,489,490","1,487,681"
Colorado,,,"492,622","343,392","16,874","2,177","50,171","14,231","61,016",298,"4,463","190,781","182,476"
Connecticut,,,"566,162","423,636","12,975","2,918","49,420","14,184","58,202",214,"4,612","218,212","236,141"
Delaware,,,"135,173","95,350","3,409",624,"12,491","3,657","18,177",64,"1,403","49,940","50,202"
District of Columbia,,,"54,688","38,046","1,018",342,"5,111","2,233","7,545",13,380,"18,553","23,170"
Florida,,,"2,984,641","2,182,745","82,797","14,356","274,601","65,971","337,647","1,943","24,581","1,172,575","1,149,668"
Georgia,,,"1,003,577","656,301","23,997","5,675","100,369","38,264","165,236",878,"12,858","333,546","362,824"
Hawaii,,,"173,611","132,623","4,001","1,360","13,855","4,116","16,379",97,"1,179","67,234","70,362"
Idaho,,,"186,606","129,886","6,356",972,"18,480","5,154","23,822",159,"1,776","73,113","65,852"
Illinois,,,"1,720,043","1,209,667","48,303","9,837","189,250","51,183","195,349","1,034","15,420","636,977","692,255"
Indiana,,,"957,736","663,895","27,187","4,757","103,297","27,980","120,476",740,"9,403","345,106","371,284"
Iowa,,,"482,267","344,577","16,622","1,991","55,756","11,263","48,370",226,"3,463","185,762","197,067"
Kansas,,,"402,042","286,047","12,217","1,773","43,760","10,714","43,993",198,"3,340","153,519","162,215"
Kentucky,,,"631,510","367,305","19,675","3,002","75,547","19,265","134,675","1,390","10,651","202,139","212,731"
Louisiana,,,"584,674","335,839","24,396","4,018","86,613","25,459","98,323","1,242","8,784","200,447","202,715"
Maine,,,"214,901","142,332","6,092",933,"21,095","5,159","36,220",204,"2,865","77,589","77,774"
Maryland,,,"681,671","482,959","17,662","3,490","69,053","23,046","79,300",296,"5,865","248,895","272,500"
Massachusetts,,,"943,250","664,804","22,854","4,519","87,963","23,323","128,541",492,"10,753","347,231","381,734"
Michigan,,,"1,610,784","1,094,874","49,997","9,428","173,539","48,376","216,323","1,381","16,867","579,805","601,975"
Minnesota,,,"686,494","493,501","21,212","2,964","70,496","17,154","75,471",270,"5,426","264,107","267,609"
Mississippi,,,"420,795","252,750","9,871","2,939","43,990","17,211","85,785",609,"7,640","131,186","144,541"
Missouri,,,"898,446","604,709","24,531","4,162","94,507","26,111","133,504",735,"10,188","319,087","338,126"
Montana,,,"139,868","96,939","4,782",721,"15,444","3,713","17,004",118,"1,147","54,283","50,975"
Nebraska,,,"250,608","178,230","8,325","1,088","28,096","6,312","26,387",120,"2,051","97,009","102,182"
Nevada,,,"305,632","220,217","6,899","1,551","24,614","8,019","41,433",172,"2,726","121,424","104,048"
New Hampshire,,,"194,723","139,018","4,456",821,"16,149","4,769","26,959",103,"2,448","73,214","72,580"
New Jersey,,,"1,337,563","988,348","29,125","6,795","122,705","34,659","143,410",735,"11,788","501,662","556,148"
New Mexico,,,"243,286","161,261","8,648","1,443","25,089","7,881","36,014",314,"2,636","90,400","85,309"
New York,,,"2,818,438","1,999,959","68,829","17,599","261,690","73,588","365,614","2,242","28,917","1,008,128","1,136,508"
North Carolina,,,"1,252,446","852,042","26,157","5,712","108,743","36,339","207,490",902,"15,061","422,645","462,644"
North Dakota,,,"93,435","63,722","4,280",393,"13,284","2,459","8,655",47,596,"37,367","37,753"
Ohio,,,"1,718,391","1,159,500","64,252","8,615","220,281","47,491","202,432","1,339","14,481","645,383","670,392"
Oklahoma,,,"523,186","349,427","15,895","2,554","59,397","16,126","74,023",530,"5,235","187,017","196,589"
Oregon,,,"541,729","388,839","16,315","2,541","53,312","12,329","64,089",418,"3,887","207,358","204,989"
Pennsylvania,,,"2,174,631","1,525,786","64,924","9,810","249,893","53,595","250,175","1,623","18,825","805,072","882,650"
Rhode Island,,,"170,509","122,765","3,039",705,"14,104","3,865","24,121",95,"1,815","61,227","69,901"
South Carolina,,,"639,877","423,844","13,985","3,428","57,947","21,123","110,563",543,"8,444","214,394","226,801"
South Dakota,,,"112,608","79,451","4,217",484,"13,259","2,964","11,353",50,829,"44,671","44,487"
Tennessee,,,"889,019","577,995","24,163","4,609","93,470","28,271","148,532",974,"11,006","300,493","322,592"
Texas,,,"2,401,438","1,586,502","88,432","13,703","290,498","84,214","311,143","2,558","24,388","895,072","879,150"
Utah,,,"230,988","164,516","8,792","1,451","21,596","8,416","23,959",153,"2,105","93,129","84,193"
Vermont,,,"95,312","67,016","2,557",516,"9,149","2,358","12,659",66,991,"35,606","35,725"
Virginia,,,"959,978","651,004","26,119","4,868","96,162","28,692","141,028","1,005","11,099","339,078","361,014"
Washington,,,"834,585","591,560","26,437","4,177","79,953","20,511","104,366",541,"7,040","319,737","311,268"
West Virginia,,,"345,363","195,972","13,170","1,886","47,002","9,637","71,512","1,063","5,120","112,654","117,989"
Wisconsin,,,"853,219","616,986","23,752","4,200","86,524","21,228","93,287",396,"6,846","324,764","334,366"
Wyoming,,,"70,609","50,193","2,202",299,"7,218","1,951","8,148",52,547,"28,054","25,339"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,2630,947,53,118,305,371,712,10,112,597,486
