"Table 2.
Number of beneficiaries with benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2006",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"49,122,624","30,976,145","2,478,599","489,940","4,666,962","1,898,862","6,806,918","153,470","1,651,728","14,650,230","19,817,987"
Alabama,,,"920,843","502,502","40,989","9,610","95,762","43,045","178,375","4,310","46,250","234,255","335,896"
Alaska,,,"66,906","40,237","2,675","1,279","5,103","4,684","10,211",229,"2,488","20,415","21,370"
Arizona,,,"940,213","617,724","45,652","8,084","76,392","33,950","125,727","2,393","30,291","297,042","366,729"
Arkansas,,,"576,997","327,697","24,503","5,413","55,616","24,335","109,118","2,564","27,751","154,730","211,186"
California,,,"4,504,672","2,912,853","261,217","55,119","394,166","169,905","570,084","11,751","129,577","1,431,541","1,829,354"
Colorado,,,"600,316","392,178","33,512","4,855","54,252","21,800","75,836","1,241","16,642","190,459","243,043"
Connecticut,,,"587,292","408,611","22,305","5,519","46,686","19,501","67,281",908,"16,481","183,317","258,991"
Delaware,,,"153,544","100,779","6,163","1,199","12,666","5,593","21,685",302,"5,157","46,103","61,176"
District of Columbia,,,"71,231","45,919","1,998",813,"6,211","4,374","10,233",47,"1,636","20,497","30,412"
Florida,,,"3,444,546","2,349,812","162,857","32,039","286,449","106,833","407,268","8,006","91,282","1,115,243","1,424,086"
Georgia,,,"1,269,987","764,680","49,384","13,253","119,007","65,004","205,249","3,960","49,450","339,909","485,087"
Hawaii,,,"204,207","146,599","8,560","3,131","15,640","6,343","19,203",400,"4,331","67,216","87,569"
Idaho,,,"233,766","150,186","12,866","2,153","20,360","8,288","31,318",773,"7,822","73,814","89,462"
Illinois,,,"1,906,454","1,238,100","90,254","20,461","187,450","77,156","231,633","4,395","57,005","574,968","805,594"
Indiana,,,"1,080,547","683,997","50,160","9,046","104,580","43,353","148,690","2,985","37,736","311,239","440,679"
Iowa,,,"555,803","369,639","31,225","3,937","56,661","17,248","61,782","1,060","14,251","174,392","244,626"
Kansas,,,"454,919","299,083","22,291","3,545","43,692","16,622","55,542",903,"13,241","140,018","194,477"
Kentucky,,,"812,644","424,678","42,307","6,785","90,047","33,343","167,356","5,719","42,409","208,525","289,392"
Louisiana,,,"722,643","371,872","50,038","8,580","97,808","41,739","114,609","4,794","33,203","195,926","268,741"
Maine,,,"275,175","167,240","12,547","2,095","23,709","8,158","48,022",932,"12,472","79,627","105,263"
Maryland,,,"778,689","515,455","33,236","7,258","71,121","35,133","94,524","1,160","20,802","234,810","330,346"
Massachusetts,,,"1,072,305","695,199","42,601","9,415","88,505","33,620","158,781","2,161","42,023","317,977","454,159"
Michigan,,,"1,776,084","1,103,565","91,649","18,192","171,714","71,581","250,351","5,533","63,499","512,615","702,343"
Minnesota,,,"801,237","537,792","40,911","5,933","72,994","25,369","94,885","1,255","22,098","252,419","339,676"
Mississippi,,,"553,844","296,755","20,753","6,903","54,735","31,094","109,531","2,817","31,256","135,784","196,734"
Missouri,,,"1,077,060","663,590","47,895","8,747","101,208","42,845","168,301","3,197","41,277","307,953","425,751"
Montana,,,"172,920","111,990","9,628","1,710","16,752","6,278","21,611",510,"4,441","55,549","68,045"
Nebraska,,,"293,935","194,403","15,815","2,258","28,898","9,742","33,915",526,"8,378","91,991","128,429"
Nevada,,,"354,321","240,460","14,002","3,318","26,259","12,564","46,966",704,"10,048","118,955","131,471"
New Hampshire,,,"226,313","148,322","8,086","1,535","16,603","6,705","34,310",489,"10,263","67,967","88,960"
New Jersey,,,"1,381,151","948,401","53,813","13,289","117,395","47,676","158,619","3,013","38,945","423,629","606,968"
New Mexico,,,"319,935","192,565","18,966","3,521","29,785","14,417","48,044","1,363","11,274","96,158","119,815"
New York,,,"3,075,081","2,001,974","134,224","36,310","262,721","106,847","416,715","9,562","106,728","903,009","1,287,129"
North Carolina,,,"1,550,340","970,774","52,895","12,677","128,785","61,114","261,068","4,385","58,642","424,368","603,191"
North Dakota,,,"115,434","73,133","8,733",860,"14,578","3,873","11,604",213,"2,440","37,462","51,056"
Ohio,,,"1,976,174","1,220,222","122,211","17,210","226,863","74,755","251,748","5,459","57,706","594,640","828,418"
Oklahoma,,,"647,067","394,760","32,220","5,642","66,227","27,073","97,042","2,340","21,763","187,835","254,946"
Oregon,,,"630,822","424,170","31,607","5,515","55,384","18,993","78,860","1,679","14,614","199,647","256,389"
Pennsylvania,,,"2,438,397","1,571,817","120,091","19,845","250,688","81,844","309,778","7,140","77,194","724,612","1,044,979"
Rhode Island,,,"193,099","128,410","5,768","1,567","14,414","5,744","29,721",395,"7,080","55,712","82,489"
South Carolina,,,"801,076","489,743","28,282","7,446","70,167","35,369","135,892","2,478","31,699","217,209","301,845"
South Dakota,,,"142,953","94,207","8,807","1,082","15,042","5,160","15,038",265,"3,352","46,687","61,209"
Tennessee,,,"1,115,933","659,946","48,970","10,238","108,804","48,853","190,539","4,432","44,151","302,511","424,789"
Texas,,,"3,028,901","1,807,535","188,427","32,633","330,751","142,438","410,912","11,969","104,236","903,534","1,179,990"
Utah,,,"282,158","182,948","17,275","3,243","22,884","13,705","32,274",733,"9,096","89,441","111,494"
Vermont,,,"114,559","73,887","5,086","1,105","9,867","3,597","16,663",268,"4,086","34,692","45,364"
Virginia,,,"1,161,105","725,945","51,986","10,255","107,679","45,122","173,734","4,048","42,336","334,044","464,934"
Washington,,,"961,739","631,195","50,042","8,722","81,793","30,920","130,146","2,266","26,655","301,023","383,436"
West Virginia,,,"419,477","212,985","26,981","3,961","52,459","16,140","83,143","3,973","19,835","110,290","151,889"
Wisconsin,,,"966,818","649,341","44,255","8,127","87,487","31,872","116,190","1,883","27,663","299,190","405,848"
Wyoming,,,"82,748","55,007","4,247",615,"7,576","3,080","9,918",215,"2,090","27,033","32,597"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,503","1,639",206,395,559,855,"1,109",62,678,924,997
,Guam,,"12,481","6,599","1,056",564,"1,171","1,228","1,247",49,567,"3,754","3,813"
,"Northern Mariana
   Islands",,"2,306",941,132,263,292,397,196,6,79,565,490
,Puerto Rico,,"723,203","344,564","56,568","14,148","80,944","36,861","139,966","8,545","41,607","189,402","234,021"
,U.S. Virgin Islands,,"16,673","10,948",893,467,"1,242",953,"1,621",70,479,"5,179","5,926"
Foreign countries,,,"468,078","280,572","68,779","8,055","80,359","13,771","12,734",635,"3,173","182,424","214,918"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
U.S. Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2006
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2006/",,,,,,,,,,,,,
