"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2007",,,,,,
State,,Total population,,Population aged 65 or older,,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits",
,United States,"301,621",16.1,"37,888",90.4,
Alabama,,"4,628",20.2,626,92.8,
Alaska,,683,10.1,48,90.9,
Arizona,,"6,339",15.1,820,83.3,
Arkansas,,"2,835",20.8,397,93.8,
California,,"36,553",12.5,"4,004",82.9,
Colorado,,"4,862",12.7,493,90.6,
Connecticut,,"3,502",16.9,472,94.7,
Delaware,,865,18.2,118,93.9,
District of Columbia,,588,12.1,70,72.9,
Florida,,"18,251",19.1,"3,098",83.3,
Georgia,,"9,545",13.7,943,90.6,
Hawaii,,"1,283",16.2,184,85.7,
Idaho,,"1,499",16.0,175,96.5,
Illinois,,"12,853",15.0,"1,549",90.3,
Indiana,,"6,345",17.3,795,96.3,
Iowa,,"2,988",18.7,438,96.3,
Kansas,,"2,776",16.5,360,93.6,
Kentucky,,"4,241",19.5,550,92.4,
Louisiana,,"4,293",17.1,522,90.5,
Maine,,"1,317",21.3,195,96.8,
Maryland,,"5,618",14.0,662,86.8,
Massachusetts,,"6,450",16.8,859,90.6,
Michigan,,"10,072",17.9,"1,280",96.7,
Minnesota,,"5,198",15.7,636,95.0,
Mississippi,,"2,919",19.2,365,92.6,
Missouri,,"5,878",18.5,788,94.5,
Montana,,958,18.4,134,94.9,
Nebraska,,"1,775",16.6,237,93.9,
Nevada,,"2,565",14.1,286,90.5,
New Hampshire,,"1,316",17.6,166,97.1,
New Jersey,,"8,686",16.0,"1,135",91.8,
New Mexico,,"1,970",16.6,250,88.6,
New York,,"19,298",16.1,"2,546",87.0,
North Carolina,,"9,061",17.5,"1,103",95.9,
North Dakota,,640,18.2,93,95.6,
Ohio,,"11,467",17.4,"1,545",93.2,
Oklahoma,,"3,617",18.2,480,93.4,
Oregon,,"3,747",17.2,489,95.6,
Pennsylvania,,"12,433",19.8,"1,890",94.5,
Rhode Island,,"1,058",18.3,147,94.5,
South Carolina,,"4,408",18.7,573,93.9,
South Dakota,,796,18.2,114,96.7,
Tennessee,,"6,157",18.5,793,94.2,
Texas,,"23,904",13.0,"2,394",89.1,
Utah,,"2,645",11.0,234,88.5,
Vermont,,621,18.9,84,97.1,
Virginia,,"7,712",15.3,910,90.0,
Washington,,"6,468",15.2,758,92.7,
West Virginia,,"1,812",23.4,281,94.6,
Wisconsin,,"5,602",17.5,736,97.3,
Wyoming,,523,16.1,64,95.3,
,,,,,,
,,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; Census Bureau, Population Division, 2007 estimates of resident population.",,,,,,
a.,"Population estimates for the United States as of July 1, 2007, as reported by the Census Bureau.",,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,
,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2007
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2007/",,,,,,
