"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
beneficiaries aged 65 or older, December 2007 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"49,218,145","34,004,494","1,292,620","265,936","4,657,266","1,332,248","7,127,082","40,791","497,708","18,307,915","18,541,943"
Alabama,,,"871,901","532,154","21,503","5,207","87,809","28,411","181,955","1,136","13,726","285,678","299,599"
Alaska,,,"64,509","43,144","1,327",590,"4,867","3,233","10,566",55,726,"24,834","19,427"
Arizona,,,"975,362","698,488","24,657","4,375","79,750","23,473","135,056",650,"8,913","382,764","353,679"
Arkansas,,,"537,711","337,867","11,999","2,863","49,836","15,618","110,838",629,"8,061","182,746","184,339"
California,,,"4,529,307","3,191,576","133,635","28,960","403,903","120,763","606,798","3,125","40,547","1,753,955","1,726,188"
Colorado,,,"608,090","429,354","17,957","2,806","55,783","16,256","80,416",342,"5,176","239,323","223,318"
Connecticut,,,"649,645","485,756","13,284","3,393","52,166","15,524","73,753",239,"5,530","251,965","267,989"
Delaware,,,"166,396","118,396","3,554",736,"13,686","4,156","24,128",84,"1,657","62,337","61,576"
District of Columbia,,,"62,306","43,307",989,380,"5,137","2,413","9,597",14,470,"21,395","25,836"
Florida,,,"3,476,594","2,556,701","85,529","16,953","293,130","73,186","421,410","2,134","27,551","1,381,394","1,334,726"
Georgia,,,"1,255,047","836,664","26,832","7,385","113,241","44,189","210,741","1,001","14,994","431,139","450,497"
Hawaii,,,"207,882","159,927","4,117","1,629","15,519","4,587","20,639",108,"1,355","79,887","84,501"
Idaho,,,"232,982","163,321","6,860","1,178","21,042","5,994","32,206",202,"2,179","92,674","81,355"
Illinois,,,"1,979,725","1,397,817","49,940","11,284","198,576","55,955","247,277","1,221","17,655","745,454","785,819"
Indiana,,,"1,136,120","789,642","28,570","5,540","111,490","31,999","156,885",832,"11,161","415,860","433,151"
Iowa,,,"556,787","401,932","16,176","2,330","58,460","12,800","60,876",256,"3,958","217,940","224,496"
Kansas,,,"465,619","333,168","12,077","2,095","45,813","11,981","56,410",228,"3,847","179,259","184,876"
Kentucky,,,"757,639","443,799","20,996","3,624","81,903","22,276","171,161","1,531","12,348","248,398","251,159"
Louisiana,,,"660,195","381,393","25,391","4,285","90,179","27,177","120,849","1,335","9,586","231,863","224,157"
Maine,,,"257,085","170,540","6,390","1,105","22,740","5,722","46,900",226,"3,462","93,821","91,325"
Maryland,,,"802,360","574,070","18,236","4,132","72,561","24,963","101,309",330,"6,758","297,044","320,228"
Massachusetts,,,"1,083,680","759,550","23,355","5,278","91,437","25,733","164,725",524,"13,079","402,277","429,499"
