"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2008",,,,,,,,,,,,
State,,Total population,,Population aged 65 or older,,,,,,,,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits",,,,,,,
,United States,"304,060",16.3,"38,870",89.8,,,,,,,
Alabama,,"4,662",20.4,642,92.2,,,,,,,
Alaska,,686,10.4,50,90.9,,,,,,,
Arizona,,"6,500",15.2,863,81.8,,,,,,,
Arkansas,,"2,855",21.1,407,93.1,,,,,,,
California,,"36,757",12.7,"4,114",82.5,,,,,,,
Colorado,,"4,939",12.9,511,90.1,,,,,,,
Connecticut,,"3,501",17.1,478,94.8,,,,,,,
Delaware,,873,18.5,122,93.6,,,,,,,
District of Columbia,,592,12.1,71,72.0,,,,,,,
Florida,,"18,328",19.4,"3,188",82.7,,,,,,,
Georgia,,"9,686",13.9,981,90.1,,,,,,,
Hawaii,,"1,288",16.5,190,85.0,,,,,,,
Idaho,,"1,524",16.3,182,95.8,,,,,,,
Illinois,,"12,902",15.1,"1,575",89.8,,,,,,,
Indiana,,"6,377",17.6,814,95.6,,,,,,,
Iowa,,"3,003",18.8,445,95.6,,,,,,,
Kansas,,"2,802",16.6,367,92.6,,,,,,,
Kentucky,,"4,269",19.8,566,91.4,,,,,,,
Louisiana,,"4,411",17.0,540,88.9,,,,,,,
Maine,,"1,316",21.7,199,96.7,,,,,,,
Maryland,,"5,634",14.2,680,86.2,,,,,,,
Massachusetts,,"6,498",16.8,871,90.2,,,,,,,
Michigan,,"10,003",18.4,"1,304",96.7,,,,,,,
Minnesota,,"5,220",15.9,651,94.8,,,,,,,
Mississippi,,"2,939",19.3,372,92.6,,,,,,,
Missouri,,"5,912",18.7,805,93.8,,,,,,,
Montana,,967,18.7,137,94.6,,,,,,,
Nebraska,,"1,783",16.7,241,92.8,,,,,,,
Nevada,,"2,600",14.4,297,90.2,,,,,,,
New Hampshire,,"1,316",18.0,170,97.1,,,,,,,
New Jersey,,"8,683",16.2,"1,151",91.7,,,,,,,
New Mexico,,"1,984",16.9,260,87.5,,,,,,,
New York,,"19,490",16.1,"2,608",86.0,,,,,,,
North Carolina,,"9,222",17.7,"1,139",95.8,,,,,,,
North Dakota,,641,18.3,94,95.1,,,,,,,
Ohio,,"11,486",17.6,"1,571",92.5,,,,,,,
Oklahoma,,"3,642",18.4,491,92.7,,,,,,,
Oregon,,"3,790",17.4,504,95.0,,,,,,,
Pennsylvania,,"12,448",19.9,"1,911",94.3,,,,,,,
Rhode Island,,"1,051",18.7,148,94.5,,,,,,,
South Carolina,,"4,480",19.0,596,93.6,,,,,,,
South Dakota,,804,18.3,116,95.9,,,,,,,
Tennessee,,"6,215",18.8,820,93.6,,,,,,,
Texas,,"24,327",13.1,"2,472",88.6,,,,,,,
Utah,,"2,736",10.9,246,86.9,,,,,,,
Vermont,,621,19.4,87,97.0,,,,,,,
Virginia,,"7,769",15.5,941,89.4,,,,,,,
Washington,,"6,549",15.4,784,92.3,,,,,,,
West Virginia,,"1,814",23.7,285,94.1,,,,,,,
Wisconsin,,"5,628",17.8,750,97.0,,,,,,,
Wyoming,,533,16.1,66,94.7,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; Census Bureau, Population Division, 2008 estimates of resident population.",,,,,,,,,,,,
a.,"Population estimates for the United States as of July 1, 2008, as reported by the Census Bureau.",,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,
,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2008
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2008/",,,,,,,,,,,,
