"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2009",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"52,522,819","33,514,013","2,343,601","561,451","4,488,492","1,921,148","7,788,013","158,122","1,747,979","15,812,886","20,781,236"
Alabama,,,"983,341","543,725","37,930","10,359","91,034","43,329","204,573","4,173","48,218","253,048","350,580"
Alaska,,,"74,678","46,498","2,582","1,474","5,126","4,597","11,572",225,"2,604","23,723","24,098"
Arizona,,,"1,028,442","693,216","43,559","9,745","76,096","34,533","138,396","2,484","30,413","329,924","400,721"
Arkansas,,,"620,040","352,317","21,888","5,978","52,593","24,791","128,375","2,680","31,418","166,483","219,997"
California,,,"4,835,164","3,182,221","256,083","63,708","383,550","167,897","639,263","12,213","130,229","1,551,926","1,936,591"
Colorado,,,"663,894","443,673","31,439","6,219","53,252","22,664","87,987","1,349","17,311","213,267","263,989"
Connecticut,,,"611,276","428,877","20,604","6,550","43,845","19,570","74,153",947,"16,730","194,326","265,555"
Delaware,,,"167,530","111,912","5,703","1,359","12,258","5,735","24,937",281,"5,345","50,897","66,016"
District of Columbia,,,"73,093","47,343","1,751",838,"5,471","3,922","11,948",43,"1,777","21,153","30,326"
Florida,,,"3,669,375","2,536,392","153,355","36,364","277,117","107,322","458,526","8,151","92,148","1,193,941","1,500,784"
Georgia,,,"1,412,978","872,059","47,712","15,562","117,937","65,943","236,868","4,149","52,748","386,474","529,712"
Hawaii,,,"220,491","160,553","7,970","3,359","15,485","6,354","21,698",406,"4,666","72,781","93,812"
Idaho,,,"258,691","169,173","12,079","2,607","20,104","8,639","36,525",859,"8,705","82,722","97,543"
Illinois,,,"1,993,199","1,306,280","84,144","22,774","176,524","77,004","262,227","4,642","59,604","608,811","824,600"
Indiana,,,"1,157,821","735,047","46,091","10,811","100,522","45,639","175,035","3,345","41,331","334,193","457,588"
Iowa,,,"574,315","388,139","26,522","5,087","52,462","18,233","68,425","1,084","14,363","181,196","246,714"
Kansas,,,"478,138","314,968","19,281","4,378","40,996","17,218","65,631",915,"14,751","146,603","197,775"
Kentucky,,,"870,206","461,223","39,236","7,877","86,110","35,096","190,170","5,601","44,893","225,541","301,065"
Louisiana,,,"770,217","401,165","47,186","9,285","94,302","43,395","135,077","4,567","35,240","209,949","279,676"
Maine,,,"293,011","180,317","11,237","2,534","22,685","8,333","53,959",907,"13,039","86,026","109,827"
Maryland,,,"826,497","555,790","30,310","8,042","66,708","34,155","108,605","1,118","21,769","252,260","346,725"
Massachusetts,,,"1,117,870","724,674","39,199","10,888","82,792","34,016","179,409","2,031","44,861","335,123","461,518"
Michigan,,,"1,905,342","1,194,623","85,345","21,269","164,633","71,200","293,299","6,055","68,918","551,683","731,503"
Minnesota,,,"857,805","584,560","36,108","7,579","68,615","25,937","109,472","1,259","24,275","273,063","355,993"
Mississippi,,,"583,515","318,734","19,028","7,366","52,139","31,027","121,217","2,718","31,286","145,545","204,285"
Missouri,,,"1,137,581","707,487","42,805","10,416","95,774","44,086","190,813","3,260","42,940","328,389","439,305"
Montana,,,"187,197","123,975","8,718","2,011","15,886","6,414","24,865",546,"4,782","61,150","72,086"
Nebraska,,,"303,880","203,762","13,473","2,694","26,866","9,941","38,133",549,"8,462","96,247","129,945"
Nevada,,,"390,553","269,889","13,662","3,912","26,345","12,847","52,776",734,"10,388","132,586","145,052"
New Hampshire,,,"245,563","161,891","7,500","1,894","16,032","6,817","39,678",488,"11,263","74,575","94,663"
New Jersey,,,"1,440,943","995,695","51,196","15,534","110,859","47,312","176,927","3,091","40,329","445,642","623,706"
New Mexico,,,"347,976","213,959","17,672","3,765","29,048","14,700","55,815","1,272","11,745","105,536","128,844"
New York,,,"3,214,780","2,100,332","128,460","40,198","248,238","104,996","470,783","9,578","112,195","951,026","1,322,678"
North Carolina,,,"1,698,677","1,082,726","49,463","15,142","126,002","62,918","296,118","4,664","61,644","473,166","650,506"
North Dakota,,,"118,493","76,872","7,458","1,076","13,412","3,993","12,872",202,"2,608","38,874","51,301"
Ohio,,,"2,074,384","1,291,578","111,303","19,514","215,198","77,583","291,040","5,859","62,309","624,823","841,981"
Oklahoma,,,"688,545","419,458","28,862","6,538","63,181","28,613","114,708","2,439","24,746","199,531","263,810"
Oregon,,,"686,777","467,560","29,198","7,176","54,020","19,353","91,803","1,802","15,865","218,592","273,355"
Pennsylvania,,,"2,530,211","1,641,934","108,195","22,347","233,228","82,592","352,884","7,142","81,889","755,646","1,059,007"
Rhode Island,,,"200,202","133,026","5,209","1,888","13,419","5,872","32,963",369,"7,456","58,042","83,099"
South Carolina,,,"889,876","556,444","26,880","8,686","69,929","35,581","156,502","2,691","33,163","247,345","330,669"
South Dakota,,,"150,432","101,648","7,501","1,294","14,168","5,279","16,866",240,"3,436","49,813","63,335"
Tennessee,,,"1,212,968","730,711","45,969","11,461","105,359","49,828","217,950","4,537","47,153","334,950","452,099"
Texas,,,"3,320,462","1,995,282","184,491","36,686","324,886","145,016","499,728","12,930","121,443","995,019","1,263,999"
Utah,,,"312,029","203,464","16,828","3,923","22,829","14,545","39,318",789,"10,333","99,472","121,702"
Vermont,,,"124,585","80,961","4,596","1,385","9,409","3,614","19,567",287,"4,766","38,158","48,016"
Virginia,,,"1,246,366","799,184","48,755","12,014","103,562","45,335","190,962","3,834","42,720","367,620","496,283"
Washington,,,"1,049,039","698,822","47,275","10,564","80,041","31,476","150,080","2,346","28,435","333,078","412,776"
West Virginia,,,"436,445","225,811","25,266","4,129","49,293","16,802","91,273","3,987","19,884","116,391","154,221"
Wisconsin,,,"1,033,096","697,097","39,012","9,950","82,691","33,175","137,596","2,095","31,480","319,397","420,371"
Wyoming,,,"88,514","59,708","3,832",752,"7,225","3,351","11,312",202,"2,132","29,281","34,373"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,726","1,829",198,363,574,908,"1,138",59,657,"1,016","1,099"
,Guam,,"13,686","7,442","1,004",545,"1,310","1,328","1,418",66,573,"4,082","4,208"
,"Northern Mariana
   Islands",,"2,431","1,097",121,250,276,372,218,8,89,598,515
,Puerto Rico,,"776,374","377,817","58,913","13,451","80,547","34,181","159,775","9,130","42,560","204,933","253,933"
,U.S. Virgin Islands,,"18,788","12,845",928,493,"1,274",958,"1,719",64,507,"6,103","6,924"
Foreign countries,,,"529,311","320,228","82,516","9,388","85,255","14,813","13,066",660,"3,385","211,147","240,382"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Sheron Matthews (410) 966-4750 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2009
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2009/",,,,,,,,,,,,,
