"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2009",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits"
,United States,"307,007",17.1,"39,571",92.5
Alabama,,"4,709",20.9,651,92.7
Alaska,,698,10.7,53,90.5
Arizona,,"6,596",15.6,867,84.3
Arkansas,,"2,889",21.5,414,93.4
California,,"36,962",13.1,"4,148",84.1
Colorado,,"5,025",13.2,534,89.4
Connecticut,,"3,518",17.4,488,94.2
Delaware,,885,18.9,127,92.3
District of Columbia,,600,12.2,70,73.3
Florida,,"18,538",19.8,"3,196",84.3
Georgia,,"9,829",14.4,"1,015",90.3
Hawaii,,"1,295",17.0,188,88.5
Idaho,,"1,546",16.7,187,96.2
Illinois,,"12,910",15.4,"1,594",89.9
Indiana,,"6,423",18.0,829,95.6
Iowa,,"3,008",19.1,444,96.3
Kansas,,"2,819",17.0,368,93.7
Kentucky,,"4,314",20.2,570,92.3
Louisiana,,"4,492",17.1,554,88.3
Maine,,"1,318",22.2,206,95.3
Maryland,,"5,699",14.5,695,86.2
Massachusetts,,"6,594",17.0,895,89.1
Michigan,,"9,970",19.1,"1,340",95.8
Minnesota,,"5,266",16.3,671,93.7
Mississippi,,"2,952",19.8,377,92.8
Missouri,,"5,988",19.0,822,93.3
Montana,,975,19.2,142,93.9
Nebraska,,"1,797",16.9,241,94.0
Nevada,,"2,643",14.8,307,90.5
New Hampshire,,"1,325",18.5,179,94.4
New Jersey,,"8,708",16.5,"1,173",91.2
New Mexico,,"2,010",17.3,261,89.7
New York,,"19,541",16.5,"2,620",86.8
North Carolina,,"9,381",18.1,"1,192",94.3
North Dakota,,647,18.3,95,95.1
Ohio,,"11,543",18.0,"1,605",91.4
Oklahoma,,"3,687",18.7,496,93.4
Oregon,,"3,826",18.0,517,95.2
Pennsylvania,,"12,605",20.1,"1,946",93.2
Rhode Island,,"1,053",19.0,151,93.7
South Carolina,,"4,561",19.5,623,92.7
South Dakota,,812,18.5,118,96.1
Tennessee,,"6,296",19.3,841,93.6
Texas,,"24,782",13.4,"2,539",89.0
Utah,,"2,785",11.2,251,88.1
Vermont,,622,20.0,90,95.8
Virginia,,"7,883",15.8,960,90.0
Washington,,"6,664",15.7,806,92.5
West Virginia,,"1,820",24.0,288,94.1
Wisconsin,,"5,655",18.3,761,97.2
Wyoming,,544,16.3,67,95.2
,,,,,
,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; Census Bureau, Population Division, 2009 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2009, as reported by the Census Bureau.",,,,
CONTACT:  Sheron Matthews (410) 966-4750 or oasdi.sc@ssa.gov.,,,,,
,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2009
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2009/",,,,,
