"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
beneficiaries aged 65 or older, December 2009 (in thousands of dollars)",,,,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,,,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women,,
,,All areas,"55,905,731","39,020,920","1,345,643","320,237","4,893,329","1,435,847","8,288,762","45,306","555,686","20,863,919","20,752,202",,
Alabama,,,"995,047","614,516","22,300","6,002","91,971","30,517","213,489","1,193","15,060","328,607","335,950",,
Alaska,,,"75,477","51,652","1,424",724,"5,288","3,363","12,166",62,798,"29,775","22,832",,
Arizona,,,"1,130,429","824,221","26,059","5,537","85,966","25,537","152,705",745,"9,659","445,268","408,159",,
Arkansas,,,"611,114","386,561","12,105","3,297","51,954","16,948","130,363",687,"9,199","208,459","206,375",,
California,,,"5,157,177","3,682,640","141,869","35,237","427,268","128,658","693,865","3,557","44,083","2,004,000","1,943,607",,
Colorado,,,"709,615","509,759","18,802","3,675","59,536","17,818","93,836",396,"5,791","281,224","256,944",,
Connecticut,,,"723,023","546,727","13,694","4,123","54,015","16,580","81,737",270,"5,876","284,144","295,363",,
Delaware,,,"191,920","138,475","3,687",851,"14,466","4,549","28,009",79,"1,805","71,923","70,461",,
District of Columbia,,,"70,001","49,127","1,017",435,"5,105","2,437","11,325",15,540,"24,064","28,648",,
Florida,,,"3,958,307","2,936,441","89,253","20,352","309,822","78,905","491,043","2,347","30,145","1,567,364","1,503,161",,
Georgia,,,"1,475,429","998,499","28,592","9,085","122,331","47,640","251,229","1,105","16,949","511,117","520,226",,
Hawaii,,,"238,128","184,953","4,286","1,909","16,602","4,940","23,802",112,"1,523","91,699","96,648",,
Idaho,,,"270,393","192,169","7,120","1,486","22,460","6,544","37,900",225,"2,489","108,115","93,303",,
