"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older, by state, December 2010",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage
receiving benefits","Number a
(thousands)","Percentage
receiving benefits"
,United States,"309,051",17.5,"40,538",92.0
Alabama,,"4,730",21.4,664,92.4
Alaska,,709,11.0,56,89.8
Arizona,,"6,677",16.0,900,83.7
Arkansas,,"2,910",21.8,421,92.9
California,,"37,267",13.4,"4,284",83.5
Colorado,,"5,095",13.6,559,88.2
Connecticut,,"3,527",17.6,496,93.9
Delaware,,891,19.3,129,92.6
District of Columbia,,611,12.2,72,71.8
Florida,,"18,678",20.3,"3,276",84.0
Georgia,,"9,908",14.8,"1,053",89.7
Hawaii,,"1,300",17.5,196,87.6
Idaho,,"1,560",17.3,194,95.6
Illinois,,"12,944",15.7,"1,622",89.3
Indiana,,"6,445",18.5,843,95.2
Iowa,,"3,023",19.3,448,96.1
Kansas,,"2,841",17.2,375,92.8
Kentucky,,"4,339",20.6,581,92.0
Louisiana,,"4,529",17.5,566,87.7
Maine,,"1,313",22.8,210,94.8
Maryland,,"5,737",14.8,713,85.7
Massachusetts,,"6,631",17.2,910,88.5
Michigan,,"9,931",19.8,"1,363",95.5
Minnesota,,"5,290",16.7,686,93.4
Mississippi,,"2,960",20.2,383,92.6
Missouri,,"6,012",19.4,839,92.6
Montana,,980,19.7,145,93.5
Nebraska,,"1,811",17.1,245,92.9
Nevada,,"2,655",15.4,320,89.8
New Hampshire,,"1,324",19.2,183,94.6
New Jersey,,"8,733",16.9,"1,190",91.0
New Mexico,,"2,034",17.7,270,89.0
New York,,"19,578",16.8,"2,659",86.6
North Carolina,,"9,459",18.6,"1,226",94.0
North Dakota,,654,18.4,96,94.6
Ohio,,"11,532",18.4,"1,623",91.0
Oklahoma,,"3,724",18.9,509,92.3
Oregon,,"3,856",18.5,534,94.5
Pennsylvania,,"12,633",20.4,"1,965",92.9
Rhode Island,,"1,057",19.3,151,94.0
South Carolina,,"4,597",20.1,644,92.7
South Dakota,,820,18.7,120,95.6
Tennessee,,"6,338",19.8,862,93.2
Texas,,"25,213",13.6,"2,635",88.1
Utah,,"2,831",11.5,261,87.1
Vermont,,622,20.7,92,95.6
Virginia,,"7,952",16.2,990,89.4
Washington,,"6,746",16.2,846,90.8
West Virginia,,"1,826",24.3,290,94.2
Wisconsin,,"5,669",18.7,773,97.0
Wyoming,,548,16.6,69,94.3
,,,,,
,,,,,
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; Census Bureau, Population Division, 2010 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2010, as reported by the Census Bureau.",,,,
CONTACT: Sheron Matthews (410) 965-0090 or statistics@ssa.gov.,,,,,
,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2010
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2010/",,,,,
