"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2010 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"58,048,295","40,662,492","1,343,640","334,405","4,884,520","1,437,963","8,759,959","45,925","579,391","21,573,964","21,319,204"
Alabama,,,"1,035,825","641,814","22,144","6,221","91,692","30,561","226,417","1,202","15,774","340,176","344,822"
Alaska,,,"79,906","55,198","1,464",800,"5,406","3,340","12,807",57,833,"31,660","24,092"
Arizona,,,"1,185,924","869,977","26,169","6,000","87,285","25,651","160,072",763,"10,009","465,349","425,736"
Arkansas,,,"632,021","401,438","11,848","3,391","51,743","17,222","136,142",676,"9,560","214,428","211,710"
California,,,"5,356,831","3,848,546","143,123","36,985","428,157","128,417","722,734","3,687","45,183","2,077,326","2,004,945"
Colorado,,,"749,162","540,599","18,811","3,960","60,071","17,887","101,314",395,"6,124","295,303","267,783"
Connecticut,,,"742,891","563,107","13,697","4,279","53,501","16,487","85,517",274,"6,029","291,732","301,006"
Delaware,,,"199,834","145,060","3,649",885,"14,486","4,587","29,241",81,"1,844","74,614","73,207"
District of Columbia,,,"72,460","50,851","1,029",444,"4,985","2,382","12,201",12,556,"24,745","29,386"
Florida,,,"4,118,532","3,058,887","88,708","21,510","310,931","79,453","524,995","2,404","31,645","1,621,904","1,549,345"
Georgia,,,"1,550,475","1,056,780","28,738","9,585","123,501","47,719","265,452","1,130","17,571","536,135","541,776"
Hawaii,,,"248,933","194,235","4,284","1,993","16,799","4,990","24,933",120,"1,578","96,052","100,882"
Idaho,,,"284,098","202,864","7,117","1,569","22,705","6,669","40,321",225,"2,629","112,941","97,055"
Illinois,,,"2,269,001","1,619,105","51,241","13,589","204,337","59,703","299,760","1,419","19,848","855,749","874,233"
Indiana,,,"1,337,202","934,269","28,945","7,096","116,351","35,399","200,524","1,007","13,610","484,796","490,551"
Iowa,,,"633,784","465,290","15,080","3,058","58,702","14,079","72,898",262,"4,415","247,376","247,927"
Kansas,,,"539,542","388,437","11,590","2,692","46,890","13,279","71,720",253,"4,679","205,426","207,104"
Kentucky,,,"893,647","532,689","21,505","4,498","85,699","24,835","208,364","1,681","14,376","293,922","286,457"
Louisiana,,,"772,879","454,993","26,524","5,123","94,562","29,638","149,594","1,394","11,051","271,696","254,772"
Maine,,,"299,168","202,455","6,378","1,457","23,761","6,140","54,858",241,"3,878","110,217","104,162"
Maryland,,,"953,323","692,881","18,665","4,983","74,897","26,371","127,286",346,"7,895","352,649","373,493"
Massachusetts,,,"1,244,433","878,976","24,053","6,571","93,624","27,805","197,619",557,"15,229","464,596","480,474"
Michigan,,,"2,260,292","1,561,578","54,224","13,923","194,303","56,653","354,018","1,961","23,630","813,918","797,172"
Minnesota,,,"977,740","723,105","21,256","4,686","77,415","20,716","122,464",332,"7,765","383,446","367,403"
Mississippi,,,"584,009","361,043","10,498","4,090","49,660","20,643","127,810",707,"9,558","187,648","194,809"
Missouri,,,"1,233,418","841,736","25,056","6,261","103,535","31,677","210,590",880,"13,683","445,962","442,329"
Montana,,,"199,474","143,491","4,854","1,086","17,248","4,609","26,580",142,"1,464","79,802","69,986"
Nebraska,,,"330,570","241,198","7,661","1,612","29,788","7,395","40,263",125,"2,528","129,807","130,028"
Nevada,,,"450,839","332,916","8,107","2,359","30,391","10,119","63,037",232,"3,677","182,163","153,993"
New Hampshire,,,"285,653","204,859","4,875","1,264","18,826","5,759","46,101",133,"3,836","108,501","101,581"
New Jersey,,,"1,773,403","1,322,502","32,391","10,225","133,159","39,917","218,001",973,"16,237","666,805","717,656"
New Mexico,,,"360,511","245,756","9,510","2,089","29,497","9,630","60,092",346,"3,591","134,825","123,568"
New York,,,"3,704,726","2,652,909","76,285","24,574","281,865","83,147","543,799","2,841","39,305","1,332,838","1,450,538"
North Carolina,,,"1,881,592","1,314,890","29,442","9,423","130,547","45,949","329,340","1,257","20,746","652,545","675,247"
North Dakota,,,"121,750","86,069","3,897",596,"13,993","2,896","13,478",52,769,"49,012","47,448"
Ohio,,,"2,282,955","1,560,764","66,190","11,738","239,898","58,317","324,535","1,846","19,668","860,758","840,566"
Oklahoma,,,"728,656","489,061","16,206","3,830","66,174","20,570","124,537",690,"7,588","262,421","261,520"
Oregon,,,"784,439","574,612","17,616","4,439","62,244","14,937","104,605",530,"5,455","303,856","285,742"
Pennsylvania,,,"2,866,806","2,030,460","66,075","14,006","264,904","63,561","399,089","2,046","26,665","1,060,982","1,107,995"
Rhode Island,,,"221,751","159,868","3,126","1,171","15,052","4,527","35,519",94,"2,395","80,146","86,736"
South Carolina,,,"991,098","680,694","16,460","5,362","72,459","25,771","178,137",738,"11,477","347,276","341,426"
South Dakota,,,"155,859","114,406","3,921",689,"14,564","3,586","17,629",51,"1,013","63,436","58,922"
Tennessee,,,"1,311,420","877,122","27,283","7,179","108,933","35,102","239,219","1,273","15,309","457,246","456,955"
Texas,,,"3,556,653","2,381,531","105,631","20,855","344,734","105,602","556,089","3,757","38,453","1,342,908","1,246,595"
Utah,,,"350,818","251,583","10,755","2,320","26,871","11,464","44,294",219,"3,313","141,944","123,522"
Vermont,,,"137,480","98,530","2,736",812,"10,323","2,791","20,742",66,"1,481","52,428","49,686"
Virginia,,,"1,392,064","978,605","29,555","7,591","110,831","34,544","215,103","1,161","14,675","509,299","514,622"
Washington,,,"1,229,800","890,170","29,948","6,857","94,566","25,286","172,292",732,"9,949","479,553","444,734"
West Virginia,,,"460,157","268,708","14,474","2,431","51,419","12,151","103,216","1,387","6,372","154,976","149,251"
Wisconsin,,,"1,182,238","865,480","23,285","6,198","95,008","26,062","155,465",558,"10,181","450,899","439,769"
Wyoming,,,"99,423","72,714","2,296",477,"8,164","2,498","12,515",55,705,"40,736","34,665"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"3,656","1,481",61,125,377,406,"1,056",12,138,905,751
