"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2018",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"62,906,222","43,721,450","2,391,734","690,060","4,029,669","1,910,821","8,537,332","118,514","1,506,642","21,040,450","26,118,630"
Alabama,,,"1,143,125","709,443","31,209","12,510","79,195","43,019","222,986","2,972","41,791","331,111","431,340"
Alaska,,,"101,402","72,029","3,076","1,980","5,406","4,505","11,944",158,"2,304","37,703","36,834"
Arizona,,,"1,349,458","992,575","48,960","14,987","77,555","36,464","151,124","2,115","25,678","479,249","570,242"
Arkansas,,,"696,936","439,558","16,522","7,255","45,068","25,280","134,780","1,769","26,704","207,267","261,394"
California,,,"5,962,804","4,310,091","298,670","81,392","365,206","155,169","641,737","10,484","100,055","2,130,002","2,552,584"
Colorado,,,"874,819","639,282","36,041","7,902","50,720","23,659","100,040","1,073","16,102","316,929","370,396"
Connecticut,,,"681,765","501,724","22,273","7,548","36,995","18,429","80,566",677,"13,553","236,152","302,038"
Delaware,,,"213,246","156,161","5,993","1,773","11,760","6,007","27,075",218,"4,259","72,182","91,462"
District of Columbia,,,"83,059","57,338","2,061",865,"4,111","3,209","13,896",33,"1,546","25,942","35,031"
Florida,,,"4,626,156","3,389,540","158,259","47,237","268,262","112,504","551,521","7,434","91,399","1,618,954","1,969,237"
Georgia,,,"1,830,266","1,242,203","49,411","20,526","113,444","67,564","280,549","3,523","53,046","564,650","734,965"
Hawaii,,,"271,236","211,813","9,348","3,790","14,700","6,210","21,165",377,"3,833","100,397","122,187"
Idaho,,,"346,243","247,610","11,968","3,859","19,639","9,862","43,971",712,"8,622","122,044","139,226"
Illinois,,,"2,243,286","1,590,343","83,796","24,706","147,032","70,421","276,442","3,638","46,908","758,920","955,028"
Indiana,,,"1,350,417","921,226","40,535","13,233","87,702","47,050","201,734","2,541","36,396","429,361","552,391"
Iowa,,,"647,462","470,664","20,853","6,306","41,244","18,299","77,006",771,"12,319","223,436","280,637"
Kansas,,,"552,973","391,286","18,136","5,823","34,078","17,727","72,185",727,"13,011","186,081","233,063"
Kentucky,,,"989,575","599,606","32,905","9,870","75,262","37,958","194,959","3,726","35,289","294,679","364,195"
Louisiana,,,"907,733","540,818","41,629","10,742","83,953","42,361","154,395","3,205","30,630","278,353","341,690"
Maine,,,"344,482","234,929","10,509","3,312","19,584","8,940","55,900",626,"10,682","115,304","136,269"
Maryland,,,"1,001,230","720,910","32,395","9,964","56,935","32,759","126,920",886,"20,461","333,393","437,101"
Massachusetts,,,"1,273,360","878,840","43,737","13,767","68,128","35,110","194,364","1,512","37,902","424,474","535,683"
Michigan,,,"2,209,084","1,498,279","75,014","23,593","141,374","69,265","334,642","5,056","61,861","707,505","885,253"
Minnesota,,,"1,032,697","761,515","35,675","10,363","55,988","26,389","120,283","1,031","21,453","364,829","444,376"
Mississippi,,,"668,877","416,530","15,605","8,780","46,457","30,364","124,851","1,897","24,393","192,128","249,266"
Missouri,,,"1,293,897","873,524","35,669","12,228","81,011","44,298","209,607","2,393","35,167","411,800","517,685"
Montana,,,"233,801","171,787","7,686","2,507","13,966","6,652","26,628",388,"4,187","85,892","94,785"
Nebraska,,,"345,725","250,014","11,795","3,420","21,578","10,461","40,704",316,"7,437","118,967","152,035"
Nevada,,,"536,855","396,557","15,627","5,919","28,647","14,438","64,745",761,"10,161","195,940","214,595"
New Hampshire,,,"305,855","213,708","9,126","2,570","14,755","7,378","47,128",329,"10,861","103,459","123,540"
New Jersey,,,"1,625,600","1,181,229","60,325","18,846","93,584","43,860","191,337","2,317","34,102","547,162","725,742"
New Mexico,,,"436,551","297,313","16,719","4,468","26,905","15,179","63,955",872,"11,140","145,620","173,103"
New York,,,"3,627,340","2,548,783","144,604","45,899","210,805","96,469","486,264","6,434","88,082","1,195,283","1,560,899"
North Carolina,,,"2,098,741","1,476,848","49,749","19,605","117,221","64,384","314,113","3,467","53,354","664,166","868,217"
North Dakota,,,"133,773","96,657","4,900","1,148","10,025","4,486","14,095",125,"2,337","48,271","57,517"
Ohio,,,"2,356,367","1,581,420","89,227","20,771","178,738","81,710","344,385","4,637","55,479","775,814","964,698"
Oklahoma,,,"789,288","522,769","24,217","8,493","55,553","29,636","124,606","1,753","22,261","249,272","314,505"
Oregon,,,"871,988","640,652","30,725","9,120","49,898","19,480","105,296","1,445","15,372","309,638","369,895"
Pennsylvania,,,"2,825,178","1,966,422","96,077","25,689","186,989","81,539","395,568","4,874","68,020","927,163","1,201,491"
Rhode Island,,,"225,493","156,598","5,657","2,506","11,363","5,846","36,471",259,"6,793","72,517","93,927"
South Carolina,,,"1,143,297","796,032","27,918","10,905","67,236","36,640","172,718","2,072","29,776","365,559","463,501"
South Dakota,,,"178,999","133,040","5,602","1,570","11,119","5,386","18,842",150,"3,290","65,686","76,198"
Tennessee,,,"1,452,552","964,035","41,525","14,320","94,255","51,283","241,307","3,311","42,516","450,843","573,674"
Texas,,,"4,224,159","2,832,567","202,331","49,490","315,194","149,918","553,435","9,670","111,554","1,416,111","1,713,720"
Utah,,,"406,568","284,754","20,387","5,255","23,392","16,492","46,048",661,"9,579","141,771","168,181"
Vermont,,,"150,319","106,070","4,920","1,596","7,927","3,596","21,828",181,"4,201","51,967","61,354"
Virginia,,,"1,530,417","1,078,144","51,644","15,267","93,516","44,728","207,901","2,602","36,615","505,288","648,510"
Washington,,,"1,346,820","970,010","53,639","14,468","75,871","32,064","171,397","2,094","27,277","473,835","568,814"
West Virginia,,,"475,744","285,909","22,122","5,319","41,500","17,617","86,060","2,504","14,713","147,519","178,970"
Wisconsin,,,"1,233,379","896,146","34,776","12,025","68,489","33,302","158,502","1,505","28,634","422,184","512,647"
Wyoming,,,"112,386","82,101","3,634","1,035","6,713","3,461","13,266",170,"2,006","40,976","45,065"
Outlying areas,,,,,,,,,,,,,
