State,ANSI Code,Year,Total,Aged,Blind and Disabled,Under 18,18-64,65 or older,SSI recipients also receiving OASDI
Alabama,01,2003,163772,21005,142767,27308,97739,38725,67035
Alaska,02,2003,10651,2229,8422,1064,6539,3048,3697
Arizona,04,2003,91853,13244,78609,15556,53555,22742,29928
Arkansas,05,2003,86563,11182,75381,15363,50313,20887,37422
California,06,2003,1161467,345681,815786,92704,566668,502095,433485
Colorado,08,2003,54054,8555,45499,6587,33808,13659,19566
Connecticut,09,2003,51170,6945,44225,6293,32450,12427,15490
Delaware,10,2003,12968,1307,11661,2977,7568,2423,4315
District of Columbia,11,2003,20393,2157,18236,3907,12045,4441,5211
Florida,12,2003,410027,95672,314355,77292,195795,136940,137389
Georgia,13,2003,199991,29708,170283,30857,115188,53946,77774
Hawaii,15,2003,21757,6523,15234,1380,11884,8493,6905
Idaho,16,2003,20279,1714,18565,3543,13730,3006,7350
Illinois,17,2003,255262,30892,224370,42559,155318,57385,60744
Indiana,18,2003,94027,6310,87717,19036,62363,12628,30272
Iowa,19,2003,41890,3836,38054,6295,28383,7212,16484
Kansas,20,2003,37813,3481,34332,6608,24591,6614,13690
Kentucky,21,2003,178852,15732,163120,25184,118258,35410,63095
Louisiana,22,2003,167800,20713,147087,29460,98939,39401,58708
Maine,23,2003,31438,2750,28688,3198,22580,5660,13794
Maryland,24,2003,90983,15541,75442,14046,52124,24813,26307
Massachusetts,25,2003,167883,44795,123088,16610,103163,48110,62696
Michigan,26,2003,216629,17624,199005,35552,144705,36372,65796
Minnesota,27,2003,69020,9806,59214,9593,43802,15625,22090
Mississippi,28,2003,126282,17536,108746,21262,71364,33656,52691
Missouri,29,2003,115131,10606,104525,18101,75861,21169,42756
Montana,30,2003,14365,1212,13153,1805,10080,2480,5662
Nebraska,31,2003,21876,2184,19692,3399,14519,3958,8737
Nevada,32,2003,30983,7920,23063,5251,17375,8357,10193
New Hampshire,33,2003,12762,930,11832,1725,9201,1836,4756
New Jersey,34,2003,149376,33654,115722,20861,78236,50279,47485
New Mexico,35,2003,50212,8711,41501,6273,28498,15441,19845
New York,36,2003,623774,133964,489810,67961,333258,222555,196206
North Carolina,37,2003,194611,28241,166370,33450,109308,51853,83446
North Dakota,38,2003,8101,1145,6956,935,5174,1992,3711
Ohio,39,2003,243679,15938,227741,41456,165968,36255,67420
Oklahoma,40,2003,75262,8939,66323,11602,47024,16636,27454
Oregon,41,2003,57506,7587,49919,7508,37598,12400,19968
Pennsylvania,42,2003,310485,32883,277602,50888,195711,63886,96816
Rhode Island,44,2003,29143,4145,24998,3738,18076,7329,11241
South Carolina,45,2003,105693,13872,91821,17721,61098,26874,42472
South Dakota,46,2003,12574,1777,10797,1885,7495,3194,5253
Tennessee,47,2003,161361,18854,142507,21907,101263,38191,63860
Texas,48,2003,455232,111313,343919,65288,228697,161247,181997
Utah,49,2003,21394,2140,19254,3837,13846,3711,6424
Vermont,50,2003,12819,1307,11512,1487,8639,2693,6066
Virginia,51,2003,133731,22183,111548,20351,76567,36813,49948
Washington,52,2003,109056,14192,94864,13105,71006,24945,29616
West Virginia,54,2003,75257,4700,70557,8207,54468,12582,24057
Wisconsin,55,2003,88750,8823,79927,15415,57112,16223,31638
Wyoming,56,2003,5665,484,5181,822,3926,917,2198
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2003,734,159,575,166,366,202,202
Unknown,58,2003,8,1,7,1,6,1,1
Alabama,01,2004,163070,19238,143832,27548,98894,36628,65782
Alaska,02,2004,10773,2169,8604,1074,6682,3017,3706
Arizona,04,2004,94639,13213,81426,16337,55444,22858,30459
Arkansas,05,2004,87979,10406,77573,16313,51703,19963,37251
California,06,2004,1181681,348116,833565,95006,578091,508584,443898
Colorado,08,2004,54223,8410,45813,6591,34029,13603,19675
Connecticut,09,2004,51538,6765,44773,6377,32754,12407,15669
Delaware,10,2004,13470,1300,12170,3113,7951,2406,4413
District of Columbia,11,2004,20868,2050,18818,4233,12315,4320,5228
Florida,12,2004,413575,94780,318795,78640,198200,136735,138061
Georgia,13,2004,200169,28221,171948,31538,116313,52318,76383
Hawaii,15,2004,22256,6512,15744,1437,12298,8521,7154
Idaho,16,2004,21025,1732,19293,3747,14213,3065,7533
Illinois,17,2004,255462,30514,224948,43103,154944,57415,61600
Indiana,18,2004,96211,6111,90100,19823,63870,12518,30987
Iowa,19,2004,42656,3699,38957,6554,28992,7110,16797
Kansas,20,2004,38491,3391,35100,6806,25139,6546,13828
Kentucky,21,2004,179418,14877,164541,25797,118941,34680,63489
Louisiana,22,2004,169547,19591,149956,30889,100542,38116,58552
Maine,23,2004,31668,2594,29074,3278,22908,5482,13742
Maryland,24,2004,92817,15380,77437,14304,53802,24711,26439
Massachusetts,25,2004,168975,44258,124717,17108,104135,47732,62956
Michigan,26,2004,219194,17130,202064,36456,146513,36225,67107
Minnesota,27,2004,70788,9870,60918,9996,44813,15979,22723
Mississippi,28,2004,125241,16350,108891,21869,71286,32086,51606
Missouri,29,2004,116231,10009,106222,18723,77055,20453,42724
Montana,30,2004,14572,1170,13402,1892,10236,2444,5695
Nebraska,31,2004,22100,2093,20007,3341,14859,3900,8918
Nevada,32,2004,32281,8169,24112,5633,18017,8631,10459
New Hampshire,33,2004,13060,904,12156,1715,9520,1825,4897
New Jersey,34,2004,149942,33412,116530,21142,78523,50277,47559
New Mexico,35,2004,51674,8613,43061,6628,29461,15585,20341
New York,36,2004,625841,131476,494365,69177,334442,222222,197754
North Carolina,37,2004,195819,26560,169259,34837,111039,49943,82313
North Dakota,38,2004,7943,1047,6896,932,5120,1891,3616
Ohio,39,2004,245532,15443,230089,41426,168018,36088,69288
Oklahoma,40,2004,77172,8433,68739,12381,48731,16060,27778
Oregon,41,2004,58924,7580,51344,7872,38502,12550,20448
Pennsylvania,42,2004,316733,31734,284999,53930,199469,63334,98142
Rhode Island,44,2004,29645,4005,25640,3894,18516,7235,11258
South Carolina,45,2004,105323,12883,92440,18071,61620,25632,41856
South Dakota,46,2004,12494,1729,10765,1819,7517,3158,5208
Tennessee,47,2004,160554,17487,143067,22216,101888,36450,62619
Texas,48,2004,472563,109175,363388,74225,238655,159683,183950
Utah,49,2004,21686,2156,19530,3856,14020,3810,6566
Vermont,50,2004,12877,1220,11657,1490,8796,2591,6026
Virginia,51,2004,134634,21280,113354,21067,77792,35775,49607
Washington,52,2004,112008,14294,97714,13774,72721,25513,30552
West Virginia,54,2004,76017,4485,71532,8275,55319,12423,24271
Wisconsin,55,2004,90070,8563,81507,15850,58166,16054,32074
Wyoming,56,2004,5653,442,5211,840,3944,869,2215
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2004,761,148,613,183,389,189,202
Unknown,58,2004,2,0,2,1,1,0,0
Alabama,01,2005,163878,17889,145989,28052,100653,35173,65869
Alaska,02,2005,11064,2151,8913,1124,6887,3053,3857
Arizona,04,2005,97934,13491,84443,17068,57357,23509,31952
Arkansas,05,2005,90968,9805,81163,18035,53674,19259,37638
California,06,2005,1209842,355809,854034,97775,589309,522759,466036
Colorado,08,2005,55532,8557,46975,6861,34773,13898,20214
Connecticut,09,2005,52260,6797,45463,6590,33123,12547,16190
Delaware,10,2005,13767,1339,12428,3173,8118,2476,4524
District of Columbia,11,2005,21108,1965,19143,4337,12578,4193,5202
Florida,12,2005,423209,98783,324426,79747,201566,141896,141209
Georgia,13,2005,203555,27470,176085,33572,118339,51644,77313
Hawaii,15,2005,22754,6545,16209,1546,12607,8601,7458
Idaho,16,2005,22261,1780,20481,4068,15030,3163,8038
Illinois,17,2005,258634,30392,228242,44415,156488,57731,63730
Indiana,18,2005,98614,5916,92698,20649,65572,12393,31936
Iowa,19,2005,43373,3606,39767,6874,29450,7049,17112
Kansas,20,2005,39162,3308,35854,7017,25659,6486,14146
Kentucky,21,2005,179955,14144,165811,26678,119349,33928,64183
Louisiana,22,2005,152698,17368,135330,27455,90936,34307,53652
Maine,23,2005,31990,2444,29546,3361,23261,5368,13881
Maryland,24,2005,94656,15288,79368,14692,55252,24712,26959
Massachusetts,25,2005,171137,44590,126547,17909,105504,47724,64125
Michigan,26,2005,222053,16854,205199,37491,148290,36272,68965
Minnesota,27,2005,72943,10014,62929,10543,45943,16457,23327
Mississippi,28,2005,124584,15142,109442,22482,71394,30708,51020
Missouri,29,2005,117760,9551,108209,19436,78257,20067,43552
Montana,30,2005,14793,1105,13688,1957,10417,2419,5787
Nebraska,31,2005,22331,2027,20304,3467,15005,3859,9042
Nevada,32,2005,33479,8603,24876,5903,18469,9107,10955
New Hampshire,33,2005,13689,881,12808,1806,10091,1792,5181
New Jersey,34,2005,152142,33531,118611,21944,79304,50894,48820
New Mexico,35,2005,53865,8608,45257,7180,30838,15847,21248
New York,36,2005,633473,134264,499209,71586,334805,227082,205330
North Carolina,37,2005,199337,25402,173935,36756,113974,48607,82413
North Dakota,38,2005,7907,977,6930,952,5143,1812,3574
Ohio,39,2005,250364,15249,235115,42501,171438,36425,71354
Oklahoma,40,2005,79743,8072,71671,13552,50478,15713,28701
Oregon,41,2005,60701,7793,52908,8012,39711,12978,21188
Pennsylvania,42,2005,317808,29645,288163,57851,199044,60913,94161
Rhode Island,44,2005,30164,3934,26230,4046,18878,7240,11544
South Carolina,45,2005,105553,12315,93238,18444,62163,24946,41843
South Dakota,46,2005,12542,1667,10875,1859,7621,3062,5217
Tennessee,47,2005,161322,16943,144379,22522,102994,35806,63212
Texas,48,2005,504082,110011,394071,86574,254666,162842,193161
Utah,49,2005,22606,2256,20350,4027,14647,3932,6931
Vermont,50,2005,13110,1118,11992,1614,9000,2496,6136
Virginia,51,2005,137662,20853,116809,22264,79961,35437,50239
Washington,52,2005,115692,14727,100965,14570,74614,26508,32251
West Virginia,54,2005,76820,4264,72556,8583,55994,12243,24785
Wisconsin,55,2005,92288,8488,83800,16536,59667,16085,32996
Wyoming,56,2005,5786,440,5346,826,4091,869,2274
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2005,747,123,624,203,381,163,192
Unknown,58,2005,182,42,139,13,107,61,82
Alabama,01,2006,164782,16651,148131,28693,102241,33848,64941
Alaska,02,2006,11340,2111,9229,1164,7122,3054,3960
Arizona,04,2006,99422,13465,85957,17831,57914,23677,32028
Arkansas,05,2006,92814,9148,83666,19455,54891,18468,37363
California,06,2006,1224901,359975,864926,99566,594587,530748,477163
Colorado,08,2006,56950,8663,48287,7190,35634,14126,20545
Connecticut,09,2006,53349,6732,46617,6907,33758,12684,16525
Delaware,10,2006,14072,1315,12757,3333,8293,2446,4534
District of Columbia,11,2006,21669,1963,19706,4419,13044,4206,5355
Florida,12,2006,428246,100661,327585,80596,203426,144224,141258
Georgia,13,2006,206152,26808,179344,35169,120038,50945,76729
Hawaii,15,2006,22992,6471,16521,1563,12848,8581,7540
Idaho,16,2006,23100,1825,21275,4306,15500,3294,8234
Illinois,17,2006,260928,30427,230501,45080,157737,58111,65046
Indiana,18,2006,101207,5786,95421,21573,67261,12373,32444
Iowa,19,2006,43885,3559,40326,7126,29740,7019,17191
Kansas,20,2006,39582,3225,36357,7306,25853,6423,14302
Kentucky,21,2006,181680,13384,168296,27744,120459,33477,64395
Louisiana,22,2006,157984,16826,141158,29557,94445,33982,54535
Maine,23,2006,32531,2354,30177,3497,23723,5311,14035
Maryland,24,2006,96384,15301,81083,15286,56308,24790,27293
Massachusetts,25,2006,174293,44766,129527,19086,107253,47954,64667
Michigan,26,2006,225039,16660,208379,38675,149952,36412,70263
Minnesota,27,2006,75759,10260,65499,11214,47558,16987,24034
Mississippi,28,2006,123601,14135,109466,22825,71257,29519,49663
Missouri,29,2006,119826,9230,110596,20252,79833,19741,43905
Montana,30,2006,15235,1087,14148,2107,10684,2444,5879
Nebraska,31,2006,22577,2045,20532,3518,15140,3919,9060
Nevada,32,2006,34739,8855,25884,6238,19052,9449,11317
New Hampshire,33,2006,14515,852,13663,1957,10739,1819,5389
New Jersey,34,2006,154387,33721,120666,22609,80432,51346,49236
New Mexico,35,2006,55283,8480,46803,7771,31692,15820,21589
New York,36,2006,640598,135610,504988,73328,336510,230760,209987
North Carolina,37,2006,202745,24327,178418,38329,116935,47481,81918
North Dakota,38,2006,8046,951,7095,998,5247,1801,3575
Ohio,39,2006,254052,15242,238810,43587,173489,36976,72591
Oklahoma,40,2006,82513,7721,74792,14629,52407,15477,29156
Oregon,41,2006,62350,7953,54397,8325,40696,13329,21591
Pennsylvania,42,2006,326169,28825,297344,60995,204365,60809,95705
Rhode Island,44,2006,30718,3977,26741,4208,19198,7312,11758
South Carolina,45,2006,105527,11771,93756,18760,62452,24315,41181
South Dakota,46,2006,12735,1622,11113,2016,7686,3033,5148
Tennessee,47,2006,162687,16066,146621,23377,104539,34771,62439
Texas,48,2006,524359,109121,415238,95573,265461,163325,196309
Utah,49,2006,23518,2318,21200,4210,15269,4039,7174
Vermont,50,2006,13401,1091,12310,1722,9203,2476,6175
Virginia,51,2006,139464,20528,118936,22839,81598,35027,50012
Washington,52,2006,119107,15045,104062,15277,76485,27345,33046
West Virginia,54,2006,78003,4024,73979,8944,56959,12100,25075
Wisconsin,55,2006,93661,8192,85469,17136,60671,15854,33199
Wyoming,56,2006,5803,407,5396,865,4092,846,2264
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2006,781,121,660,234,386,161,195
Unknown,58,2006,122,28,94,12,68,42,59
Alabama,01,2007,165400,15565,149835,29084,103548,32768,64195
Alaska,02,2007,11477,2058,9419,1207,7242,3028,3972
Arizona,04,2007,100996,13619,87377,18485,58263,24248,32488
Arkansas,05,2007,95636,8510,87126,21068,56803,17765,37551
California,06,2007,1245362,364978,880384,102011,601744,541607,489556
Colorado,08,2007,58581,8771,49810,7509,36680,14392,21022
Connecticut,09,2007,54265,6714,47551,7101,34289,12875,16919
Delaware,10,2007,14480,1289,13191,3451,8555,2474,4558
District of Columbia,11,2007,21968,1925,20043,4463,13334,4171,5414
Florida,12,2007,431756,99499,332257,82455,205086,144215,143554
Georgia,13,2007,208247,26136,182111,36316,121421,50510,76494
Hawaii,15,2007,23328,6345,16983,1609,13186,8533,7696
Idaho,16,2007,23732,1829,21903,4442,15913,3377,8418
Illinois,17,2007,261954,30468,231486,45024,158219,58711,66780
Indiana,18,2007,104489,5693,98796,22789,69239,12461,33344
Iowa,19,2007,44666,3407,41259,7493,30238,6935,17348
Kansas,20,2007,40400,3209,37191,7684,26245,6471,14476
Kentucky,21,2007,184151,12687,171464,29050,121965,33136,64957
Louisiana,22,2007,162762,16264,146498,31667,97246,33849,55600
Maine,23,2007,33338,2226,31112,3722,24381,5235,14239
Maryland,24,2007,98039,15168,82871,15844,57438,24757,27634
Massachusetts,25,2007,178580,45168,133412,20198,109847,48535,65590
Michigan,26,2007,227950,16415,211535,38978,152184,36788,72231
Minnesota,27,2007,78412,10362,68050,12020,48963,17429,24589
Mississippi,28,2007,122690,13220,109470,22961,71252,28477,48781
Missouri,29,2007,121878,8841,113037,20954,81421,19503,44213
Montana,30,2007,15629,1091,14538,2247,10880,2502,6002
Nebraska,31,2007,23020,2029,20991,3700,15395,3925,9088
Nevada,32,2007,35874,9117,26757,6608,19539,9727,11532
New Hampshire,33,2007,15150,835,14315,2086,11236,1828,5588
New Jersey,34,2007,156184,33848,122336,23162,81012,52010,49863
New Mexico,35,2007,56427,8430,47997,8092,32411,15924,21885
New York,36,2007,647513,135095,512418,75250,339576,232687,214634
North Carolina,37,2007,205664,23364,182300,39924,119131,46609,81298
North Dakota,38,2007,8001,896,7105,1049,5241,1711,3530
Ohio,39,2007,257915,15083,242832,44859,175657,37399,74193
Oklahoma,40,2007,85229,7431,77798,15428,54624,15177,29736
Oregon,41,2007,64183,8023,56160,8624,41913,13646,22197
Pennsylvania,42,2007,333838,27834,306004,64377,208600,60861,97245
Rhode Island,44,2007,31096,3907,27189,4207,19547,7342,11958
South Carolina,45,2007,105688,11223,94465,19188,62812,23688,40860
South Dakota,46,2007,12960,1569,11391,2151,7807,3002,5163
Tennessee,47,2007,163270,15249,148021,23671,105618,33981,61968
Texas,48,2007,544796,108092,436704,105126,275695,163975,200729
Utah,49,2007,24486,2356,22130,4609,15722,4155,7475
