State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
Alabama,01,2003,65133,3708,61424,14114,42815,8204
Alaska,02,2003,4359,607,3752,490,2975,895
Arizona,04,2003,39176,3796,35380,7973,24451,6752
Arkansas,05,2003,33214,1751,31462,7826,21473,3914
California,06,2003,668122,174809,493313,58146,354833,255143
Colorado,08,2003,21725,2488,19237,3190,14615,3921
Connecticut,09,2003,21730,2224,19507,3161,14619,3950
Delaware,10,2003,5291,320,4971,1482,3183,626
District of Columbia,11,2003,9358,568,8790,2066,5986,1307
Florida,12,2003,167804,29930,137874,38998,85510,43295
Georgia,13,2003,78971,6122,72849,15642,51009,12320
Hawaii,15,2003,9969,2413,7556,677,6037,3255
Idaho,16,2003,8208,351,7858,1714,5819,676
Illinois,17,2003,112523,10312,102211,22199,71272,19051
Indiana,18,2003,39653,1404,38249,9616,27064,2973
Iowa,19,2003,15874,773,15101,3030,11259,1585
Kansas,20,2003,15253,825,14428,3269,10342,1641
Kentucky,21,2003,73325,2899,70426,13038,52108,8179
Louisiana,22,2003,67762,4037,63725,15280,43585,8897
Maine,23,2003,12144,435,11710,1559,9485,1101
Maryland,24,2003,39451,4859,34593,7153,24537,7761
Massachusetts,25,2003,75932,16144,59788,9139,49504,17289
Michigan,26,2003,96111,5056,91055,18595,66783,10733
Minnesota,27,2003,28272,2938,25334,4743,18678,4851
Mississippi,28,2003,49430,3041,46389,11220,31034,7176
Missouri,29,2003,47263,2222,45041,9166,33204,4893
Montana,30,2003,5722,222,5500,876,4328,518
Nebraska,31,2003,8616,474,8143,1662,6041,913
Nevada,32,2003,13167,2450,10717,2601,7979,2587
New Hampshire,33,2003,5125,231,4893,793,3878,454
New Jersey,34,2003,64767,11798,52969,10663,36562,17543
New Mexico,35,2003,19758,2079,17678,3244,12505,4009
New York,36,2003,296228,51080,245148,36884,171887,87457
North Carolina,37,2003,73628,5225,68403,16389,45832,11407
North Dakota,38,2003,2908,228,2680,433,2043,432
Ohio,39,2003,106446,4153,102293,21372,75159,9915
Oklahoma,40,2003,30383,1789,28594,6075,20611,3697
Oregon,41,2003,24109,2167,21943,3683,16810,3616
Pennsylvania,42,2003,141233,9340,131893,27100,94204,19930
Rhode Island,44,2003,13111,1291,11821,2171,8554,2387
South Carolina,45,2003,41044,2589,38455,8786,26270,5988
South Dakota,46,2003,4632,330,4302,916,3006,711
Tennessee,47,2003,64865,3446,61418,11078,45331,8455
Texas,48,2003,171311,26981,144330,32874,98344,40093
Utah,49,2003,9027,675,8351,1813,6056,1157
Vermont,50,2003,5046,250,4796,784,3652,610
Virginia,51,2003,52201,5814,46388,10120,32223,9859
Washington,52,2003,49018,5143,43875,6599,33535,8884
West Virginia,54,2003,31467,842,30626,4191,24271,3006
Wisconsin,55,2003,35352,2012,33340,7668,23691,3992
Wyoming,56,2003,2269,86,2183,410,1675,183
Outlying areas,,,,,,,,
Northern Mariana Islands,57,2003,327,55,272,94,160,73
Unknown,58,2003,3,0,3,1,3,0
Alabama,01,2004,68187,3484,64702,14706,45502,7979
Alaska,02,2004,4514,592,3922,502,3132,880
Arizona,04,2004,41421,3904,37517,8575,25846,7000
Arkansas,05,2004,35360,1681,33679,8679,22807,3874
