Year,Assumption,Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total
1975,Historical,16589,2867,643,3888,582,2919,21,27509
1976,Historical,17165,2896,653,3994,579,2903,20,28209
1977,Historical,17822,2964,678,4119,582,2877,18,29061
1978,Historical,18359,2980,661,4212,576,2780,17,29586
1979,Historical,18972,2991,652,4322,574,2711,16,30237
1980,Historical,19564,3018,639,4415,563,2610,15,30823
1981,Historical,20195,3031,633,4508,548,2546,14,31474
1982,Historical,20768,3039,558,4595,515,2321,12,31808
1983,Historical,21424,3039,512,4694,400,2146,11,32226
1984,Historical,21911,3060,477,4744,382,2010,10,32595
1985,Historical,22435,3069,456,4862,372,1918,10,33122
1986,Historical,22985,3086,450,4927,350,1878,9,33685
1987,Historical,23444,3090,439,4983,329,1837,8,34129
1988,Historical,23862,3088,432,5013,318,1809,7,34529
1989,Historical,24331,3095,422,5057,312,1782,6,35004
1990,Historical,24841,3104,421,5098,304,1777,6,35551
1991,Historical,25293,3106,425,5142,301,1792,5,36064
1992,Historical,25762,3115,431,5187,294,1808,5,36603
1993,Historical,26109,3098,436,5207,289,1837,5,36981
1994,Historical,26412,3069,440,5218,283,1865,4,37292
1995,Historical,26679,3027,441,5213,275,1884,4,37522
1996,Historical,26905,2971,442,5199,242,1898,4,37661
1997,Historical,27282,2926,441,5043,230,1893,3,37817
1998,Historical,27518,2866,439,4981,221,1884,3,37911
1999,Historical,27784,2811,442,4936,212,1885,3,38073
2000,Historical,28505,2798,459,4901,203,1878,3,38747
2001,Historical,28843,2742,467,4828,197,1890,3,38969
2002,Historical,29195,2681,477,4771,194,1908,2,39227
2003,Historical,29537,2622,480,4707,190,1910,2,39448
2004,Historical,29952,2569,482,4643,184,1901,2,39733
2005,Historical,30461,2524,488,4569,178,1903,2,40126
2006,Historical,30976,2476,490,4494,171,1899,2,40508
2007,Historical,31528,2431,494,4436,165,1892,2,40947
2008,Historical,32274,2370,525,4380,160,1915,2,41625
2009,Historical,33514,2343,561,4327,160,1921,2,42828
2010,Historical,34593,2316,580,4285,159,1913,2,43847
2011,Historical,35600,2291,594,4239,158,1907,2,44791
2012,Historical,36720,2280,612,4193,154,1907,1,45868
2013,Historical,37893,2285,625,4139,150,1899,1,46992
2014,Historical,39009,2303,635,4092,143,1892,1,48075
2015,Historical,40089,2335,648,4050,140,1893,1,49155
2016,Historical,41233,2370,661,4004,133,1893,1,50296
2017,Historical,42447,2375,675,3961,128,1904,1,51491
2018,Historical,43721,2391,690,3908,121,1911,1,52743
2019,Historical,45094,2430,701,3878,117,1916,1,54137
2020,Historical,46330,2323,704,3823,115,1936,1,55231
2021,Historical,47293,2165,687,3773,114,1976,1,56009
2022,Historical,48588,2022,682,3728,112,2020,1,57152
2023,Historical,50148,1895,685,3688,108,2037,1,58562
2024,Historical,51773,1861,713,3630,104,2051,1,60132
2025,Intermediate,53257,2131,730,3760,100,2066,1,62045
2026,Intermediate,54660,2109,745,3736,97,2075,1,63422
2027,Intermediate,56183,2081,762,3713,95,2084,1,64919
2028,Intermediate,57594,2051,780,3692,92,2093,1,66304
2029,Intermediate,58886,2019,800,3666,90,2103,1,67564
2030,Intermediate,60111,1989,822,3648,88,2109,1,68768
2031,Intermediate,61230,1956,842,3629,87,2112,1,69857
2032,Intermediate,62201,1924,861,3616,85,2111,1,70798
2033,Intermediate,63041,1894,877,3606,85,2122,1,71624
2034,Intermediate,63784,1867,888,3594,84,2114,1,72331
2035,Intermediate,64520,1835,901,3571,85,2109,1,73022
2036,Intermediate,65227,1779,914,3520,87,2109,1,73635
