Year,Assumption,Ratio of OASDI Taxable Payroll to GDP
1970,Historical,0.376
1971,Historical,0.356
1972,Historical,0.368
1973,Historical,0.383
1974,Historical,0.401
1975,Historical,0.385
1976,Historical,0.384
1977,Historical,0.382
1978,Historical,0.38
1979,Historical,0.398
1980,Historical,0.403
1981,Historical,0.397
1982,Historical,0.401
1983,Historical,0.409
1984,Historical,0.395
1985,Historical,0.397
1986,Historical,0.402
1987,Historical,0.403
1988,Historical,0.399
1989,Historical,0.396
1990,Historical,0.395
1991,Historical,0.393
1992,Historical,0.388
1993,Historical,0.384
1994,Historical,0.381
1995,Historical,0.381
1996,Historical,0.38
1997,Historical,0.382
1998,Historical,0.388
1999,Historical,0.388
2000,Historical,0.389
2001,Historical,0.393
2002,Historical,0.388
2003,Historical,0.379
2004,Historical,0.372
2005,Historical,0.364
2006,Historical,0.364
2007,Historical,0.363
2008,Historical,0.366
2009,Historical,0.363
2010,Historical,0.352
2011,Historical,0.35
2012,Historical,0.35
2013,Historical,0.349
2014,Historical,0.35
2015,Historical,0.352
2016,Historical,0.353
2017,Historical,0.356
2018,Historical,0.354
2019,Historical,0.356
2020,Historical,0.361
2021,Historical,0.353
2022,Historical,0.351
2023,Historical,0.353
2024,Historical,0.347
2025,Intermediate,0.348
2025,Low-cost,0.351
2025,High-cost,0.345
2026,Intermediate,0.35
2026,Low-cost,0.353
2026,High-cost,0.345
2027,Intermediate,0.352
2027,Low-cost,0.356
2027,High-cost,0.345
2028,Intermediate,0.353
2028,Low-cost,0.358
2028,High-cost,0.345
2029,Intermediate,0.354
2029,Low-cost,0.36
2029,High-cost,0.346
2030,Intermediate,0.354
2030,Low-cost,0.362
2030,High-cost,0.346
2031,Intermediate,0.355
2031,Low-cost,0.363
2031,High-cost,0.346
2032,Intermediate,0.355
2032,Low-cost,0.365
2032,High-cost,0.346
2033,Intermediate,0.356
2033,Low-cost,0.366
2033,High-cost,0.345
2034,Intermediate,0.356
2034,Low-cost,0.368
2034,High-cost,0.344
2035,Intermediate,0.355
2035,Low-cost,0.367
2035,High-cost,0.344
2036,Intermediate,0.355
2036,Low-cost,0.367
2036,High-cost,0.343
2037,Intermediate,0.354
2037,Low-cost,0.367
2037,High-cost,0.342
2038,Intermediate,0.354
2038,Low-cost,0.366
2038,High-cost,0.342
2039,Intermediate,0.353
2039,Low-cost,0.366
2039,High-cost,0.341
2040,Intermediate,0.353
2040,Low-cost,0.366
2040,High-cost,0.34
2041,Intermediate,0.352
2041,Low-cost,0.365
2041,High-cost,0.34
2042,Intermediate,0.352
2042,Low-cost,0.365
2042,High-cost,0.339
2043,Intermediate,0.351
2043,Low-cost,0.365
2043,High-cost,0.338
2044,Intermediate,0.351
2044,Low-cost,0.364
2044,High-cost,0.337
2045,Intermediate,0.35
2045,Low-cost,0.364
2045,High-cost,0.337
2046,Intermediate,0.35
2046,Low-cost,0.364
2046,High-cost,0.336
2047,Intermediate,0.349
2047,Low-cost,0.364
2047,High-cost,0.335
2048,Intermediate,0.349
2048,Low-cost,0.363
2048,High-cost,0.335
2049,Intermediate,0.348
2049,Low-cost,0.363
2049,High-cost,0.334
2050,Intermediate,0.348
2050,Low-cost,0.363
2050,High-cost,0.333
2051,Intermediate,0.347
2051,Low-cost,0.363
2051,High-cost,0.333
2052,Intermediate,0.347
2052,Low-cost,0.363
2052,High-cost,0.332
2053,Intermediate,0.346
2053,Low-cost,0.363
2053,High-cost,0.331
2054,Intermediate,0.346
2054,Low-cost,0.362
2054,High-cost,0.331
2055,Intermediate,0.346
2055,Low-cost,0.362
2055,High-cost,0.33
2056,Intermediate,0.345
2056,Low-cost,0.362
2056,High-cost,0.329
2057,Intermediate,0.345
2057,Low-cost,0.362
2057,High-cost,0.329
2058,Intermediate,0.344
2058,Low-cost,0.362
2058,High-cost,0.328
2059,Intermediate,0.344
2059,Low-cost,0.362
2059,High-cost,0.327
2060,Intermediate,0.344
2060,Low-cost,0.362
2060,High-cost,0.327
2061,Intermediate,0.343
2061,Low-cost,0.362
2061,High-cost,0.326
2062,Intermediate,0.343
2062,Low-cost,0.362
2062,High-cost,0.325
2063,Intermediate,0.343
2063,Low-cost,0.362
2063,High-cost,0.325
2064,Intermediate,0.342
2064,Low-cost,0.362
2064,High-cost,0.324
2065,Intermediate,0.342
2065,Low-cost,0.362
2065,High-cost,0.323
2066,Intermediate,0.341
2066,Low-cost,0.362
2066,High-cost,0.323
2067,Intermediate,0.341
2067,Low-cost,0.362
2067,High-cost,0.322
2068,Intermediate,0.341
2068,Low-cost,0.362
2068,High-cost,0.321
2069,Intermediate,0.34
2069,Low-cost,0.362
2069,High-cost,0.321
2070,Intermediate,0.34
2070,Low-cost,0.362
2070,High-cost,0.32
2071,Intermediate,0.34
2071,Low-cost,0.362
2071,High-cost,0.32
2072,Intermediate,0.339
2072,Low-cost,0.362
2072,High-cost,0.319
2073,Intermediate,0.339
2073,Low-cost,0.362
2073,High-cost,0.318
2074,Intermediate,0.339
2074,Low-cost,0.362
2074,High-cost,0.318
2075,Intermediate,0.338
2075,Low-cost,0.362
2075,High-cost,0.317
2076,Intermediate,0.338
2076,Low-cost,0.362
2076,High-cost,0.316
2077,Intermediate,0.338
2077,Low-cost,0.362
2077,High-cost,0.316
2078,Intermediate,0.337
2078,Low-cost,0.362
2078,High-cost,0.315
2079,Intermediate,0.337
2079,Low-cost,0.362
2079,High-cost,0.314
2080,Intermediate,0.337
2080,Low-cost,0.362
2080,High-cost,0.314
2081,Intermediate,0.336
2081,Low-cost,0.362
2081,High-cost,0.313
2082,Intermediate,0.336
2082,Low-cost,0.363
2082,High-cost,0.312
2083,Intermediate,0.336
2083,Low-cost,0.363
2083,High-cost,0.312
2084,Intermediate,0.336
2084,Low-cost,0.363
2084,High-cost,0.311
2085,Intermediate,0.335
2085,Low-cost,0.363
2085,High-cost,0.31
2086,Intermediate,0.335
2086,Low-cost,0.363
2086,High-cost,0.31
2087,Intermediate,0.335
2087,Low-cost,0.363
2087,High-cost,0.309
2088,Intermediate,0.334
2088,Low-cost,0.363
2088,High-cost,0.309
2089,Intermediate,0.334
2089,Low-cost,0.363
2089,High-cost,0.308
2090,Intermediate,0.334
2090,Low-cost,0.364
2090,High-cost,0.307
2091,Intermediate,0.334
2091,Low-cost,0.364
2091,High-cost,0.307
2092,Intermediate,0.333
2092,Low-cost,0.364
2092,High-cost,0.306
2093,Intermediate,0.333
2093,Low-cost,0.364
2093,High-cost,0.305
2094,Intermediate,0.333
2094,Low-cost,0.364
2094,High-cost,0.305
2095,Intermediate,0.333
2095,Low-cost,0.364
2095,High-cost,0.304
2096,Intermediate,0.332
2096,Low-cost,0.364
2096,High-cost,0.304
2097,Intermediate,0.332
2097,Low-cost,0.365
2097,High-cost,0.303
2098,Intermediate,0.332
2098,Low-cost,0.365
2098,High-cost,0.302
2099,Intermediate,0.331
2099,Low-cost,0.365
2099,High-cost,0.302
2100,Intermediate,0.331
2100,Low-cost,0.365
2100,High-cost,0.301
