Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1940.0,,,,,,,,,,,,2.23,1919.8,750.1,9718.8,61.0,15.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,63.55,12.65,,,,,0,0.0
1941.0,,,,,,,,,,,,2.33,1836.5,726.1,9240.1,40.0,10.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,64.2,13.0,,,,,0,0.0
1942.0,,,,,,,,,,,,2.55,1776.7,703.0,8935.3,26.0,7.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,65.0,13.25,,,,,0,0.0
1943.0,,,,,,,,,,,,2.64,1852.8,708.8,9479.8,26.0,7.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,64.65,12.899999999999999,,,,,0,0.0
1944.0,,,,,,,,,,,,2.49,1763.8,685.6,8952.5,33.0,8.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,65.25,13.3,,,,,0,0.0
1945.0,,,,,,,46390.0,1106.0,1106.0,41.9,2.0,2.42,1716.6,674.8,8662.9,73.0,18.0,55.0,0.0,,,,,,,,,,,,,,,,,,,,65.65,13.5,,,,,0,0.0
1946.0,,,,,,,48845.0,1502.0,1502.0,32.5,3.0,2.86,1664.4,641.2,8485.9,128.0,32.0,96.0,0.0,,,,,,,,,,,,,,,,,,,,66.75,13.75,,,,,0,0.0
1947.0,,,,,,,48908.0,1832.0,1832.0,26.7,4.0,3.18,1668.3,619.0,8663.7,159.0,40.0,119.0,0.0,,,,,,,,,,,,,,,,,,,,67.15,13.55,,,,,0,0.0
1948.0,,,,,,,49018.0,2163.0,2163.0,22.7,4.0,3.03,1633.0,604.8,8488.3,179.0,45.0,135.0,0.0,,,,,,,,,,,,,,,,,,,,67.5,13.7,,,,,0,0.0
1949.0,,,,,,,46800.0,2554.0,2554.0,18.3,5.0,3.04,1583.3,585.3,8237.3,219.0,55.0,164.0,0.0,,,,,,,,,,,,,,,,,,,,68.0,13.850000000000001,,,,,0,0.0
