Calendar year,Total income,Total cost,Net change during year,Asset Reserves at end of year,Total income (income table),Net payroll tax contributions,Income from taxation of benefits,General Fund Transfers,Net interest,Total cost (cost table),Benefit payments,Administrative expenses,Transfers to Railroad Retirement program
1937,767,1,766,766,767,765,,,2,1,1,,
1938,375,10,366,1132,375,360,,,15,10,10,,
1939,607,14,592,1724,607,580,,,27,14,14,,
1940,368,62,306,2031,368,325,,,43,62,35,26,
1941,845,114,731,2762,845,789,,,56,114,88,26,
1942,1085,159,926,3688,1085,1012,,,72,159,131,28,
1943,1328,195,1132,4820,1328,1239,,,88,195,166,29,
1944,1422,238,1184,6005,1422,1316,,,107,238,209,29,
1945,1420,304,1116,7121,1420,1285,,,134,304,274,30,
1946,1447,418,1029,8150,1447,1295,,,152,418,378,40,
1947,1722,512,1210,9360,1722,1557,,1,164,512,466,46,
1948,1969,607,1362,10722,1969,1685,,3,281,607,556,51,
1949,1816,721,1094,11816,1816,1666,,4,146,721,667,54,
1950,2928,1022,1905,13721,2928,2667,,4,257,1022,961,61,
1951,3784,1966,1818,15540,3784,3363,,4,417,1966,1885,81,
1952,4184,2282,1902,17442,4184,3819,,,365,2282,2194,88,
1953,4359,3094,1265,18707,4359,3945,,,414,3094,3006,88,
1954,5610,3741,1869,20576,5610,5163,,,447,3741,3670,92,-21
1955,6167,5079,1087,21663,6167,5713,,,454,5079,4968,119,-7
1956,6697,5841,856,22519,6697,6172,,,526,5841,5715,132,-5
1957,7381,7507,-126,22393,7381,6825,,,556,7507,7347,162,-2
1958,8117,8646,-528,21864,8117,7566,,,552,8646,8327,194,124
1959,8584,10308,-1724,20141,8584,8052,,,532,10308,9842,184,282
1960,11382,11198,184,20324,11382,10866,,,516,11198,10677,203,318
1961,11833,12432,-599,19725,11833,11285,,,548,12432,11862,239,332
1962,12585,13973,-1388,18337,12585,12059,,,526,13973,13356,256,361
1963,15063,14920,143,18480,15063,14541,,,521,14920,14217,281,423
1964,16258,15613,645,19125,16258,15689,,,569,15613,14914,296,403
1965,16610,17501,-890,18235,16610,16017,,,593,17501,16737,328,436
1966,21302,18967,2335,20570,21302,20580,,78,644,18967,18267,256,444
1967,24034,20382,3652,24222,24034,23138,,78,818,20382,19468,406,508
1968,25040,23557,1483,25704,25040,23719,,382,939,23557,22643,476,438
1969,29554,25176,4378,30082,29554,27947,,442,1165,25176,24210,474,491
1970,32220,29848,2371,32454,32220,30256,,449,1515,29848,28798,471,579
1971,35877,34542,1335,33789,35877,33723,,488,1667,34542,33414,514,613
1972,40050,38522,1528,35318,40050,37781,,475,1794,38522,37124,674,724
1973,48344,47175,1169,36487,48344,45975,,442,1928,47175,45745,647,783
1974,54688,53397,1291,37777,54688,52081,,447,2159,53397,51623,865,909
1975,59605,60395,-790,36987,59605,56816,,425,2364,60395,58517,896,982
1976,66276,67876,-1600,35388,66276,63362,,614,2301,67876,65705,959,1212
1977,72412,75309,-2897,32491,72412,69572,,613,2227,75309,73121,981,1208
1978,78094,83064,-4971,27520,78094,75471,,615,2008,83064,80361,1115,1589
1979,90274,93133,-2860,24660,90274,87919,,557,1797,93133,90573,1113,1448
1980,105841,107678,-1837,22823,105841,103456,,540,1845,107678,105083,1154,1442
1981,125361,126695,-1334,21490,125361,122627,,675,2060,126695,123803,1307,1585
1982,125198,142119,598,22088,125198,123673,,680,845,142119,138806,1519,1793
1983,150584,152999,-2416,19672,150584,138337,,5541,6706,152999,149221,1528,2251
1984,169328,161883,7445,27117,169328,159515,2835,4712,2266,161883,157841,1638,2404
1985,184239,171150,8725,35842,184239,175128,3208,4032,1871,171150,167248,1592,2310
1986,197393,181000,3239,39081,197393,189136,3424,1764,3069,181000,176813,1601,2585
1987,210736,187668,23068,62149,210736,201092,3257,1697,4690,187668,183587,1524,2557
1988,240770,200020,40750,102899,240770,227683,3384,2134,7568,200020,195454,1776,2790
